"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41220-00001,잔다리 근린공원,근린공원,,경기도 평택시 세교동 55,37.004773,127.087643,11209,,,,,,2010-04-01,경기도 평택시청,031-8024-4248,2024-03-08
41220-00002,남산 근린공원,근린공원,경기도 평택시 팽성읍 팽성송화로 76,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893,43411,,,,,,2010-12-30,경기도 평택시청,031-8024-4248,2024-03-08
41220-00003,남산공원,근린공원,경기도 평택시 팽성읍 송화택지로25번길 63,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809,15253.8,게이트볼장+마라톤운동기+심판의자+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+족구대+족구장+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,음수대+화장실,,맹암거(간선)+맹암거(지선)+빗물받이+옹벽+우수관+원형수로관+조각 조형물(가족)+집수정+트랜치,1999-03-19,경기도 평택시청,031-8024-4248,2024-03-08
41220-00004,농성 근린공원,근린공원,,경기도 평택시 팽성읍 안정리 78-27,36.965206,127.043748,29511,다리뻗치기+등허리지압기+옆파도타기+온몸근육풀기+온몸허리돌리기+평행봉+하늘걷기,,화장실,,기념비+기념비석+우수맨홀+집수정+충무공 임팔급 기념비+통합기준점+트랜치,1988-05-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00005,다솜 근린공원(소사벌택지 1호),근린공원,,경기도 평택시 비전동 1005-1 1028-3 1089-3,37.002667,127.093562,59205,등허리지압기+레그프레스+마라톤운동 장형+배드민턴장+배드민턴지주대+옆파도타기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+파크골프장+하늘걷기,,자전거보관대+화장실,,맹암거+오수맨홀+우수관+우수관로+원형맨홀+집수정,2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00006,당산 근린공원(소사벌택지 3호),근린공원,,경기도 평택시 죽백동 728공,37.009141,127.116307,42417.7,레그프레스+롤링웨이스트(일반형)+바디싣업+스트레칭로라+체어웨이트+크로스컨트리+트윈트위스트,,자전거보관대+화장실,,PE원형개량오수받이+상수관로+오수관로(PVC이중벽관+관급)+옹벽+우수관로(PVC이중벽관+관급)+원형수로관+집수정-녹지용+집수정-포장용+측구수로관(녹지용)+측구수로관(포장용)+토목(산마루측구)+트랜치,2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00007,덕동산 근린공원(비전지구),근린공원,,경기도 평택시 비전동 산84-14,36.997727,127.100058,145023,네트걸이+농구대+농구장+다리걸기+다리뻗치기+등부딪히기+등허리지압기+마라톤운동기+매달리기+미니철봉+배드민턴장+벤치프레스+양팔줄당기기+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+원형목재 평균대+윗몸일으키기+지압보도+철기둥+철봉+철봉+링+팔굽혀피기+평균대+평행봉+하늘걷기+하늘사다리+허벅지근육풀기,나무숲걷기마당+모래놀이마당+모험놀이마당+실외교구 놀이마당+체험 놀이마당,급수전+음수대+자전거거치대+화장실,,U형측구+기념 헌정탑+디자인집수정+무덤+사당+위령비석+자연보호헌정기념비+정화조 맨홀+집수정+트랜치+현충탑,1953-03-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00008,동부 근린공원(비전3지구),근린공원,경기도 평택시 동부공원로 46 (비전동),경기도 평택시 비전동 880,36.993988,127.118683,29821,게이트볼장+농구대(이동식)+다리걸치기+데크관람대+배드민턴장+배드민턴지주대+벤치프레스+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸허리돌리기+운동장+윗몸일으키기+지압보도+철봉+철봉+링+팔굽혀피기+평행봉+풋살경기장+하늘걷기,그네+그네보호대+모래포장+인공암벽놀이대+조합놀이대+흔들놀이,음수전+화장실,,나트륨섭취관련 조형물+손씻기 조형물+집수정+청소년 담배끊기 조형물+치아건강 조형물+칼로리 둥근 조형물+트랜치,1994-01-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00009,동부그린 근린공원(비전3지구),근린공원,,경기도 평택시 비전동 875,36.996786,127.117584,10578,농구대+어깨근육풀기+온몸허리돌리기+운동장+족구대+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,화장실,,조형석+집수정,1994-01-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00010,동삭 근린공원(동삭지구 1호),근린공원,경기도 평택시 동삭1로22번길 40 (동삭동 지제더샵센트럴파크아파트),경기도 평택시 동삭동 산38-2,37.022762,127.090661,11039,,,,,,2009-03-09,경기도 평택시청,031-8024-4248,2024-03-08
41220-00011,모산 근린공원,근린공원,,경기도 평택시 동삭동 396,37.014183,127.093286,277794,어깨근육풀기+옆파도타기+온몸노젓기+온몸허리돌리기+하늘걷기,,화장실,,게이트벨브+빗물받이+상수관+오수관+오수맨홀+오수받이+우수관+집수정,1989-08-19,경기도 평택시청,031-8024-4248,2024-03-08
41220-00012,배나무 근린공원(소사벌택지 4호),근린공원,,경기도 평택시 죽백동 764공,37.006145,127.116709,44947.1,고무칩포장+레그프레스+롤링웨이스트(일반형)+바디싣업+스텝싸이클+스트레칭로라+원형뜀틀+체어웨이트+크로스컨트리+트윈트위스트,,자전거보관대,,스틸그레이팅+압연강판그레이팅+옹벽+우수관로(PVC이중벽관)+월류관+집수정-녹지용+집수정-포장용+측구수로관(녹지용)+측구수로관(포장용),2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00013,배다리 근린공원(소사벌택지 5호),근린공원,,경기도 평택시 죽백동 800공,37.001031,127.119240,277072.9,고무칩포장+다리뻗치기+등허리지압기+스텝싸이클+어깨근육풀기+옆파도타기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+하늘걷기,고무칩포장+조형나무폴+클라이밍,램프+음수대+자전거보관대+화장실,,PE원형개량오수받이+배수관(PVC이중벽관)+벤치플륨관+스틸그레이팅+우수관로(PVC이중벽관+관급)+원형맨홀+자연석쌓기+준공기념비+집수정+집수정-녹지용+집수정-트렌치용+측구수로관+트랜치,2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00014,부용산 근린공원,근린공원,,경기도 평택시 팽성읍 객사리 산3,36.967630,127.060400,1740,,,,,묘비석+상수관+우수관+장대석쌓기+집수정,1975-07-12,경기도 평택시청,031-8024-4248,2024-03-08
41220-00015,비전 근린공원(매봉산),근린공원,경기도 평택시 매봉산5길 29 (비전동),경기도 평택시 비전동 274-6,36.995058,127.103395,99999,,,,,,1975-11-15,경기도 평택시청,031-8024-4248,2024-03-08
41220-00016,사군자 근린공원(서재지구),근린공원,,경기도 평택시 동삭동 710,37.007972,127.097251,10715,배드민턴장+배드민턴지주대+온몸근육풀기+온몸역기올리기+온몸허리돌리기,,급수전+화장실,,4괘문양판석(마천석)+우수관+자연석쌓기+저류조옹벽(유속차단)+집수정+측구수로관,2005-01-05,경기도 평택시청,031-8024-4248,2024-03-08
41220-00017,사색 근린공원(서재지구),근린공원,,경기도 평택시 동삭동 719,37.012872,127.098871,11378,등허리지압기+배드민턴장+배드민턴지주대(이동식)+온몸근육풀기+온몸역기올리기+온몸허리돌리기,,,,PE관 설치+수목보호받침틀+스틸그레이팅+우수관+자연석쌓기+집수정+측구수로관+트랜치,2005-01-05,경기도 평택시청,031-8024-4248,2024-03-08
41220-00018,삼각산(평택) 근린공원,근린공원,,경기도 평택시 비전동 473-78,37.001172,127.090938,4861,어깨근육풀기+옆파도타기+온몸허리돌리기+인라인스케이트장+하늘걷기,고무칩포장+그네+그네보호대+조합놀이대+흔들놀이,음수전,데크 램프형 무대,U형측구+디자인집수정+디자인트랜치+수목보호대+옹벽+집수정+트랜치,1953-03-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00019,상서재동초 근린공원(동삭2지구),근린공원,,경기도 평택시 동삭동 산25-1,37.018494,127.098362,11296,,,,,,2014-03-17,경기도 평택시청,031-8024-4248,2024-03-08
41220-00020,상서재마당 근린공원(동삭2지구 근린2호),근린공원,,경기도 평택시 동삭동 산1,37.013885,127.102771,12214,,,,,,2013-05-08,경기도 평택시청,031-8024-4248,2024-03-08
41220-00021,생기자리 근린공원(용죽지구),근린공원,,경기도 평택시 용이동 산122번지,37.006435,127.136474,21262.6,배드민턴 라인마킹+배드민턴 포스트+배드민턴장+옆파도타기운동+오금펴기운동+온몸근육운동+하늘걷기운동+허리돌리기운동,강아지흔들놀이대+고양이흔들놀이대+모래포설+양흔들놀이대,음수전+자전거보관대+화장실,,배수관+야외관람석+오수관(토목공사분)(PVC PIPE)+오수맨홀(토목공사분)+유공관+집수정+트렌치B+화장실 기초 타설,2010-11-24,경기도 평택시청,031-8024-4248,2024-03-08
41220-00022,세교 근린공원(세교지구),근린공원,,경기도 평택시 세교동 556-1,37.002585,127.083758,10133.9,농구대+농구장+등허리지압기+마라톤운동기+벤치프레스+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+지압보도+하늘걷기,고무칩포장+그네+그네보호대+물놀이시설+시소+아쿠아눈사람+아쿠아트리바스켓+아쿠아플라워+연꽃샤워+조합놀이대,음수대+화장실,,쇠기둥조형물+시계탑+조형옹벽,1992-03-13,경기도 평택시청,031-8024-4248,2024-03-08
41220-00023,솔숲 근린공원(소사2지구),근린공원,,경기도 평택시 소사동 산13-1,36.990325,127.130417,19494,,,,,,2011-07-14,경기도 평택시청,031-8024-4248,2024-03-08
41220-00024,송화 근린공원,근린공원,,경기도 평택시 팽성읍 송화리 106-1,36.958616,127.057677,41950,,,,,,1994-04-04,경기도 평택시청,031-8024-4248,2024-03-08
41220-00025,신흥 근린공원(신흥지구),근린공원,,경기도 평택시 용이동 744-1번지,37.003764,127.148865,17877,농구대+농구장+다목적경기장+등허리지압기+마라톤운동+배드민턴장+온몸노젓기+하늘걷기+허리돌리기,그네+놀이시설 경계+조합놀이대+흔들놀이,음수대+자전거보관대(10대용)+화장실,,가든테이블세트+수목보호홀덮개+연결관로+우수관로+원형맨홀+집수정+횡단배수로,2010-09-27,경기도 평택시청,031-8024-4248,2024-03-08
41220-00026,안정 근린공원,근린공원,경기도 평택시 팽성읍 안정순환로267번길 42,경기도 평택시 팽성읍 송화리 68-55,36.960697,127.053128,26350,다리뻗치기+등허리지압기+마라톤운동+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+테니스 네트대+테니스장+하늘걷기,그네+모래포설+조합놀이대+흔들놀이,화장실,,기념비석+맹암거(간선)+맹암거(지선)+배변용모래밭+배수로+빗물받이+애견배변봉투함+우수관+조형석+집수정+테니스 연습옹벽+트랜치,1975-07-12,경기도 평택시청,031-8024-4248,2024-03-08
41220-00027,역사유적 근린공원(소사지구),근린공원,,경기도 평택시 소사동 506,36.987599,127.120279,13057,다리근육풀기+등허리지압기+온몸역기올리기+윗몸일으키기+지압보도+하늘걷기,,계단 중앙 분리 펜스,,U형측구+운동시설보호대+유구설명석+자연석쌓기+집수정+측구배수+트랜치,2005-01-31,경기도 평택시청,031-8024-4248,2024-03-08
41220-00028,영신 제1호 근린공원(영신지구),근린공원,경기도 평택시 영신로 108 (동삭동),경기도 평택시 동삭동 589-3,37.018323,127.083491,13139,,,,,,2010-01-29,경기도 평택시청,031-8024-4248,2024-03-08
41220-00029,영신이들 근린공원(지제 세교지구),근린공원,,경기도 평택시 세교동 392답,37.011250,127.073562,13847,,,,,,2013-09-03,경기도 평택시청,031-8024-4248,2024-03-08
41220-00030,용이 근린공원(용이지구 3호),근린공원,경기도 평택시 현신3길 13 (용이동),경기도 평택시 용이동 441-1,36.996314,127.136287,21590,다리뻗치기+마라톤운동기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+하늘걷기,벽사다리놀이기+시소+조합놀이대+탄성고무칩포장+흔들놀이,음수전+화장실+휠체어경사로,계단식관람석,PVC이중벽관+U형측구+떼수로+배수로+상수관로+새들분수전+집수정,2003-12-04,경기도 평택시청,031-8024-4248,2024-03-08
41220-00031,원동 근린공원 (모산영신지구),근린공원,경기도 평택시 지제동삭1로 163 (동삭동 더샵지제역센트럴파크1BL아파트),경기도 평택시 동삭동 467-9,37.022131,127.087362,11669,,,,,,2009-09-30,경기도 평택시청,031-8024-4248,2024-03-08
41220-00032,은실 근린공원,근린공원,,경기도 평택시 세교동 산86-1,37.006568,127.081995,276422,,,,,,1972-08-25,경기도 평택시청,031-8024-4248,2024-03-08
41220-00033,이화 근린공원(용이지구 2호),근린공원,,경기도 평택시 용이동 483,36.999855,127.145107,16742,마라톤운동기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+자유철봉기,조합놀이대+탄성고무칩포장+흔들놀이,음수전+화장실,,PVC이중벽관+U형측구+떼수로+배수로+상수관로+새들분수전,2003-12-04,경기도 평택시청,031-8024-4248,2024-03-08
41220-00034,죽백 근린공원(용죽지구),근린공원,,경기도 평택시 용이동 561-1번지,37.001502,127.149320,49638.6,옆파도타기운동+오금펴기운동+온몸근육풀기운동+하늘걷기운동+허리돌리기운동,그네놀이대+놀이시설 경계+조합놀이대1+흔들놀이대,자전거보관대+화장실,,배수관+오수관(토목공사분)(PVC PIPE)+오수맨홀(토목공사분)+집수정+측구수로관,2010-11-24,경기도 평택시청,031-8024-4248,2024-03-08
41220-00035,지제울 근린공원(지제 세교지구),근린공원,,경기도 평택시 지제동 624-2답,37.017364,127.077589,44650,,,,,,2013-09-03,경기도 평택시청,031-8024-4248,2024-03-08
41220-00036,추팔 근린공원(송화택지),근린공원,,경기도 평택시 팽성읍 추팔리 398-2,36.951944,127.075162,11053,네트걸이대+운동장+평행봉+풋살골대,,음수전+화장실,,수도시설+집수정+측구배수,2000-10-24,경기도 평택시청,031-8024-4248,2024-03-08
41220-00037,통복(원평) 근린공원,근린공원,,경기도 평택시 통복동 170,36.990316,127.080030,11781,농구대+농구장+다리뻗치기+마라톤운동기+배드민턴장+양팔줄당기기+어깨근육풀기+옆파도타기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+지압보도+철봉+평행봉+하늘걷기,고무칩포장+그네+그네보호대+조합놀이대,음수전+주차장,,우수맨홀+지압보도장 기념비+집수정+트랜치,1989-08-19,경기도 평택시청,031-8024-4248,2024-03-08
41220-00038,평택공단 근린공원,근린공원,,경기도 평택시 세교동 540,37.010515,127.079436,12300,네트걸이대+미니축구장골대+어깨근육풀기+온몸허리돌리기+족구장+축구대+축구장+하늘걷기,,화장실,,PE 빗물받이+맹암거+머릿돌+사각수로관+우수관+우수맨홀+집수정+측구수로,1993-02-15,경기도 평택시청,031-8024-4248,2024-03-08
41220-00039,풀내음 근린공원(소사2지구),근린공원,,경기도 평택시 소사동 81-1,36.986737,127.126498,15700,,,,,,2011-07-14,경기도 평택시청,031-8024-4248,2024-03-08
41220-00040,하날 근린공원(소사벌택지 2호),근린공원,,경기도 평택시 비전동 1035공,37.004393,127.110811,36864,레그프레스+옆파도타기+온몸역기올리기+온몸허리돌리기+하늘걷기,,자전거보관대+화장실,,배수관(PVC이중벽관)설치(조경용)+우수관로+장대석놓기+집수정+집수정 일반용+측구수로관+측구수로관 설치(트랜치),2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00041,현신 근린공원(용이지구 1호),근린공원,,경기도 평택시 용이동 494-1,36.998446,127.151239,12538,농구대+농구장+미니축구장+어깨근육풀기+옆파도타기+온몸허리돌리기+윗몸일으키기+족구대+족구장+축구대+하늘걷기,고무칩포장+조합놀이대+흔들놀이,음수전+화장실+휠체어경사로,,상수관로+새들분수전+우수관+집수정,2005-10-24,경기도 평택시청,031-8024-4248,2024-03-08
41220-00042,현촌 근린공원(현촌지구),근린공원,,경기도 평택시 용이동 602-2,36.997396,127.130501,45228.6,마라톤운동기+배드민턴장+배드민턴지주대+어깨근육풀기+옆파도타기+온몸근육풀기+온몸허리돌리기+하늘걷기,고무칩포장+그네+그네보호대+시소+조합놀이대,화장실,,PVC이중벽관+맹암거+수목보호홀덮개+우수관+집수정+트랜치,2010-09-24,경기도 평택시청,031-8024-4248,2024-03-08
41220-00043,노성1리 마을쉼터,기타,,경기도 평택시 팽성읍 노성리 42-1,36.929800,127.031500,999,등허리지압기+마라톤운동기+온몸근육풀기+온몸노젓기+온몸역기내리기+온몸허리돌리기+하늘걷기,,음수전,,수목보호대+옹벽+조형탑+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00044,노성2리 마을쉼터,기타,,경기도 평택시 팽성읍 노성리 79-9,36.935208,127.021417,999,거꾸로매달리기+등허리지압기+옆파도타기+온몸노젓기+온몸허리돌리기+하늘걷기,그네+그네보호대+조합놀이대+탄성고무칩포장,음수전,,배수로+수목보호대+자연석쌓기+집수정+트랜치+트랜치측구집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00045,노양1리 마을쉼터,기타,,경기도 평택시 팽성읍 노양리 40-15,36.936252,126.999602,999,등허리지압기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+하늘걷기,고무매트포장+조합놀이대,음수전,,수목보호대+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00046,노양2리 마을쉼터,기타,,경기도 평택시 팽성읍 노양리 14-9,36.941074,127.006815,999,등허리지압기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+하늘걷기,조합놀이대+탄성고무칩포장,,,급수관+맹암거+소화전+수목보호덮개+집수정+트랜치,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00047,노와1리 마을쉼터,기타,,경기도 평택시 팽성읍 노와리 95-1,36.958509,127.087795,1394,농구대+농구장+어깨근육풀기+옆파도타기+온몸노젓기+온몸역기내리기+온몸허리돌리기+지압보도+하늘걷기,,,,PVC이중벽관+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00048,노와2리 마을쉼터,기타,,경기도 평택시 팽성읍 노와리 244-2,36.949849,127.096921,668,등허리지압기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+하늘걷기,,,,집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00049,노와4리 마을쉼터,기타,,경기도 평택시 팽성읍 노와리 153-190,36.951728,127.081941,694,다리뻗치기+배드민턴지주대(이동식)+옆파도타기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+하늘걷기,,,,PE 빗물받이+PVC이중벽관+벤치플륨관+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00050,대사1리 마을쉼터,기타,,경기도 평택시 팽성읍 대사리 205-7,36.944426,127.062246,851,농구대+마라톤운동기+옆파도타기+온몸근육풀기+온몸허리돌리기,고무칩포장+그네+그네보호대+조합놀이대,,,집수정+트랜치,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00051,동창리 마을쉼터,기타,,경기도 평택시 팽성읍 동창리 121-2,36.972130,127.034420,1114,농구대+배드민턴지주대(이동식)+어깨근육풀기+옆파도타기+온몸허리돌리기+운동장+족구대(이동식)+하늘걷기,,음수전,,배수로+우수관+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00052,두1리 마을쉼터,기타,,경기도 평택시 팽성읍 두리 123-14,36.977043,127.064720,890,등허리지압기+마라톤운동기+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기내리기+온몸허리돌리기,,,,8각 수목보호판+스피커지지대+옹벽+원형수로관+집수정+측구수로관,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00053,두2리 마을쉼터,기타,,경기도 평택시 팽성읍 두리 36-18,36.970214,127.063551,570,등허리지압기+어깨근육풀기+온몸허리돌리기,고무칩포장+조합놀이대,,,수목보호판+집수정+흉관,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00054,두정2리 마을쉼터,기타,,경기도 평택시 팽성읍 두정리 138-6,36.945054,127.026243,760,온몸노젓기+온몸역기내리기+온몸허리돌리기+하늘걷기,조합놀이대+탄성고무칩포장,,,수목보호대+집수정+흉관,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00055,두정3리 마을쉼터,기타,,경기도 평택시 팽성읍 두정리 163-127,36.944500,127.032089,668,등허리지압기+온몸근육풀기+온몸역기내리기+하늘걷기,조합놀이대+탄성고무칩포장,,,배수로+소화전+수목보호대+자연석쌓기+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00056,본정1리 마을쉼터,기타,,경기도 평택시 팽성읍 본정리 47-16,36.946182,127.007023,999,등허리지압기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+하늘걷기,고무칩포장+조합놀이대,,,공적비+수목보호판+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00057,비전쌈지,기타,,경기도 평택시 비전동 788-3,37.000544,127.092964,99999,어깨근육풀기+온몸허리돌리기+지압보도,,,,U형측구+집수정+집수정뚜껑+트렌치뚜껑,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00058,석근1리 마을쉼터,기타,,경기도 평택시 팽성읍 석근리 8-9,36.939908,127.054346,423,마라톤운동기+옆파도타기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+윗몸일으키기,,,,우수관+조형석+집수정+효자정문,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00059,석봉리 마을쉼터,기타,,경기도 평택시 팽성읍 석봉리 123-5,36.983403,127.043641,1109,농구대(이동식)+마라톤운동기+배드민턴지주대(이동식)+온몸근육풀기+온몸역기내리기+온몸허리돌리기+운동장+하늘걷기,고무칩포장+조합놀이대,음수전,,디자인집수정+우수관+이음관+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00060,신대1리 마을쉼터,기타,,경기도 평택시 팽성읍 신대리 225-2,36.947249,127.000419,999,마라톤운동기+배드민턴대+온몸근육풀기+온몸역기내리기+온몸허리돌리기+하늘걷기,고무칩포장+시소+조합놀이대,,,우수관+이음관+집수정,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00061,신대2리 마을쉼터,기타,,경기도 평택시 팽성읍 신대리 211-53,36.946419,126.999132,1668,마라톤운동기+배드민턴지주대(이동식)+온몸역기내리기+온몸허리돌리기+운동장+하늘걷기,고무칩포장+조합놀이대,,,옹벽+우수관+우수관 이음관+자연석쌓기+집수정+트랜치,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00062,안정4리 마을쉼터,기타,,경기도 평택시 팽성읍 안정리 100-8,36.961730,127.040502,999,어깨근육풀기+온몸근육풀기+온몸역기내리기+온몸허리돌리기,조합놀이대+탄성고무칩포장,자전거보관대,,수목보호판+집수정+흉관,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00063,유천동 마을쉼터,기타,,경기도 평택시 유천동 788,36.973241,127.102948,1680,농구대+농구장+다리뻗치기+등허리지압기+미니철봉+발바닥지압걷기+옆파도타기+온몸노젓기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+하늘걷기,고무칩포장+조합놀이대+흔들놀이,,,,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00064,자란쌈지 마을쉼터,기타,,경기도 평택시 비전동 600-25,36.997450,127.094460,425.7,어깨근육풀기+옆파도타기+온몸허리돌리기,,,,빗물받이+우수관,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00065,평궁리 마을쉼터,기타,,경기도 평택시 팽성읍 평궁리 474-12,36.971743,127.088742,3986,농구대+농구장+등허리지압기+배구대+배구장+어깨근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+족구대(이동식),그네+그네보호대+모래포장+조합놀이대+흔들놀이,음수전+자전거거치대+주차장+화장실,,PE 빗물받이+SKATE MASTER+맹암거+벤치플륨관+우수관+집수정+트랜치,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00066,함정리 마을쉼터,기타,,경기도 평택시 팽성읍 함정리 155-11,36.953171,127.014210,6686,농구대+다리근육풀기+등허리지압기+마라톤운동기+배구대+온몸근육풀기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+운동장+윗몸일으키기+철봉+축구장+풋살골대+하늘걷기,고무칩포장+그네+그네보호대+조합놀이대,음수전+화장실(남자)+화장실(여자),,수목보호홀덮개+우수관+자연석쌓기+집수정+트랜치,,경기도 평택시청,031-8024-4248,2024-03-08
41220-00467,율북 묘지공원,묘지공원,,경기도 평택시 청북면 율북리 산41,37.071975,126.969708,41090,,,,,,2009-12-30,경기도 평택시청,031-8024-4248,2024-03-08
41220-00067,내리 문화공원,문화공원,경기도 평택시 팽성읍 내리길 64-23,경기도 평택시 팽성읍 내리 산3-3,36.975255,127.032559,98886,,,,,,2013-04-15,경기도 평택시청,031-8024-4248,2024-03-08
41220-00068,마을마당 문화공원(소사2지구),문화공원,,경기도 평택시 소사동 산6,36.990495,127.131715,7151,,,,,,2011-07-14,경기도 평택시청,031-8024-4248,2024-03-08
41220-00069,신흥 문화공원(신흥지구),문화공원,,경기도 평택시 용이동 752,37.000970,127.145431,8054,,,화장실,,PE집수정+수목보호홀덮개+연결관+집수정+횡단배수로,2010-09-27,경기도 평택시청,031-8024-4248,2024-03-08
41220-00071,고잔 소공원,소공원,,경기도 평택시 신대동 368-18,36.996702,127.068161,996,등허리지압기+옆파도타기+온몸근육풀기+온몸허리돌리기+윗몸일으키기+하늘걷기,고무칩포장+그네+그네보호대+모래포장+조합놀이대+흔들놀이,,,배수관(다발관)+빗물받이+의류수거함+집수정+측구수로관+흉관,2009-09-22,경기도 평택시청,031-8024-4248,2024-03-08
41220-00072,남산1호 소공원(팽성6호),소공원,,경기도 평택시 팽성읍 남산리 561-1,36.954545,127.063028,634,옆파도타기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+하늘걷기,,,,우수관+집수정,2006-12-18,경기도 평택시청,031-8024-4248,2024-03-08
41220-00073,남산2호 소공원(팽성7호),소공원,,경기도 평택시 팽성읍 남산리 564,36.953862,127.064383,997,,고무칩포장+조합놀이대+흔들놀이,,,우수관+집수정,2006-12-18,경기도 평택시청,031-8024-4248,2024-03-08
41220-00074,노와이주1호 소공원(노와지구13호),소공원,,경기도 평택시 팽성읍 노와리 460-3,36.946808,127.092641,697.2,,,,,,2008-10-23,경기도 평택시청,031-8024-4248,2024-03-08
41220-00075,노와이주2호 소공원(노와지구14호),소공원,,경기도 평택시 팽성읍 노와리 461-17,36.946282,127.093677,678,,,,,,2008-10-23,경기도 평택시청,031-8024-4248,2024-03-08
41220-00076,두정1리 소공원,소공원,,경기도 평택시 팽성읍 두정리 45-1,36.940061,127.038337,1203,농구대+배구네트대+어깨근육풀기+옆파도타기+온몸역기내리기+온몸허리돌리기+하늘걷기,고무칩포장+그네+그네보호대+조합놀이대,음수전,,수목보호판+집수정+플륨관,2012-06-14,경기도 평택시청,031-8024-4248,2024-03-08
41220-00077,등꽃향기 소공원,소공원,,경기도 평택시 비전동 839-10,36.994020,127.111466,931,,,,,PE 빗물받이+우수관+집수정+트렌치+현타+하수관천공접합,2009-12-30,경기도 평택시청,031-8024-4248,2024-03-08
41220-00078,롯데캐슬 소공원,소공원,,경기도 평택시 비전동 953 954,36.999790,127.096026,1361.7,옆파도타기+온몸허리돌리기+하늘걷기,,,,배수로+빗물받이+집수정+트랜치+화강석옹벽(울타리),2008-08-28,경기도 평택시청,031-8024-4248,2024-03-08
