시군명,도서관명,운영기관명,운영방법,소재지주소,전화번호,개관일자,홈페이지주소,자료실개방시간정보,열람실개방시간정보,자료실휴무일자정보,열람실휴무일자정보,자료실개관일수,열람실개관일수,국내도서자료수,국외도서자료수,비도서자료수,전자자료수,연속간행물자료수,WGS84위도,WGS84경도
용인시,느티나무도서관,느티나무도서관재단,사립,경기도 용인시 수지구 수풍로 116번길 22(동천동),031-262-3494,2007-11-17,www.neutinamu.org,화/수/금/토)10:00~20:00일)13:00~18:00(코로나19거리두기에따른한시적이용시간단축),해당없음,"매주월,목요일,법정공휴일(코로나19거리두기에따른한시적이용시간단축)",해당없음,239,,57664,3710,4431,15,50,37.3340125456,127.0960515574
용인시,청덕도서관,지자체,지자체직영,경기도 용인시 기흥구 구성1로 44,031-324-2991,2016-02-29,http://lib.yognin.go.kr/cheongdeok,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실)주말09:00~17:00",해당없음,"매월2,4번째월요일및법정공휴일",해당없음,324,,103045,8392,1485,0,95,37.2927939851,127.1474373646
용인시,수지도서관,지자체,지자체직영,경기도 용인시 수지구 문정로7번길 23,031-324-8971,2004-07-27,http://lib.yongin.go.kr/suji,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실",해당없음,"매월2,4번째월요일및법정공휴일",해당없음,246,,265008,15549,3670,0,123,37.3202797699,127.0946916926
용인시,구성도서관,지자체,지자체직영,경기도 용인시 기흥구 구성로77번길 17,031-324-4131,2007-05-10,http://lib.yongin.go.kr/guseong,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실,디지털자료실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",325,333,157996,8980,4266,0,99,37.2967620840,127.1189858971
용인시,죽전도서관,지자체,지자체직영,경기도 용인시 수지구 대지로 89,031-324-4641,2008-12-29,http://lib.yongin.go.kr/jukjeon,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실,디지털자료실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",321,327,174457,23994,3418,0,100,37.3304098735,127.1186467213
용인시,기흥도서관,지자체,지자체직영,경기도 용인시 기흥구 기흥로116번길 10,031-324-4753,2010-09-28,http://lib.yongin.go.kr/giheung,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실,디지털자료실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",321,333,181838,14247,3573,0,104,37.2861890950,127.1135339223
용인시,흥덕도서관,지자체,지자체직영,경기도 용인시 기흥구 흥덕중앙로 153(영덕동),031-324-4141,2014-05-07,http://lib.yongin.go.kr/heungdeok,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(어린이실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월2,4번째월요일및법정공휴일","매월2,4번째월요일및신정,설,추석연휴",324,334,131043,10073,1304,0,95,37.2749835507,127.0839257264
용인시,상현도서관,지자체,지자체직영,경기도  용인시 수지구 법조로 232(상현동),031-324-4121,2015-05-20,http://lib.yongin.go.kr/sanghyeon,"평일09:00~22:00(종합자료실),09:00~18:00(유아,어린이자료실,디지털자료실)토일09:00~17:00(유아,어린이,종합,디지털자료실)","평일,주말07:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",321,333,144010,12081,1782,0,97,37.2999719376,127.0742875112
용인시,구갈희망누리도서관,지자체,지자체직영,경기도 용인시 기흥구 갈곡로12번길 1,031-324-3417,2006-07-26,http://lib.yongin.go.kr/gugal,"평일09:00018:00,토요일09:00017:00",해당없음,매주일요일및법정공휴일,해당없음,298,,42171,4936,0,0,16,37.2727374420,127.1295629380
용인시,성복도서관,지자체,지자체직영,경기도 용인시 수지구 성복1로164번길 6경기도 용인시 수지구 성복1로164번길 6,031-324-4726,2021-10-28,https://lib.yongin.go.kr/seongbok,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실)주말09:00~17:00",해당없음,"매월2,4번째월요일및법정공휴일",해당없음,320,,32356,4962,0,0,80,37.3169135772,127.0631656554
고양시,화정도서관,지자체,지자체직영,경기도 고양시 덕양구 은빛로77번길 8(화정동) 경기도 고양시 덕양구 은빛로77번길 8(화정동),031-8075-9215,2003-09-04,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,책이음1(연속간행물실),책이음2(디지털자료실),꽃뜰)/09:00~18:00(어린이자료실)주말09:00~18:00(자료실전체)",해당없음,"매월2/4주월요일,법정공휴일",해당없음,324,,140898,11511,5186,64819,211,37.6378448576,126.8370913452
고양시,행신도서관,지자체,지자체직영,경기도 고양시 덕양구 행당로33번길 25-6(행신동),031-8075-9240,1994-05-11,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월1/3주월요일,법정공휴일","매월1/3주월요일,법정공휴일",325,325,134595,7061,1538,0,150,37.6207691332,126.8283250582
고양시,신원도서관,지자체,지자체직영,경기도 고양시 덕양구 신원 2로 24(신원동) 경기도 고양시 덕양구 신원 2로 24(신원동),031-8075-9340,2014-05-13,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월2/4주월요일,법정공휴일","매월2/4주월요일,법정공휴일",324,324,77101,2682,1618,0,136,37.6663861525,126.8863642061
고양시,삼송도서관,지자체,지자체직영,경기도 고양시 덕양구 덕수천1로 73(삼송동)경기도 고양시 덕양구 덕수천1로 73(삼송동),031-8075-9360,2014-12-23,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실)09:00~18:00(어린이자료실,연속간행물실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월1/3주월요일,법정공휴일","매월1/3주월요일,법정공휴일",325,325,77233,3112,1051,0,141,37.6488653963,126.8848420219
고양시,행신어린이도서관,지자체,지자체직영어린이,경기도 고양시 덕양구 소원로 181번길 42(행신동) 경기도 고양시 덕양구 소원로 181번길 42(행신동),031-8075-9278,2007-06-29,www.goyanglib.or.kr,09:00~18:00,해당없음,"매월2/4주월요일,법정공휴일",해당없음,324,,90719,10749,970,0,45,37.6147883415,126.8434599674
고양시,별꿈도서관,지자체,지자체직영,경기도 고양시 덕양구 고양대로 1937(동산동)경기도 고양시 덕양구 고양대로 1937(동산동),031-8075-9305,2020-12-24,www.goyanglib.or.kr,평일10:00~19:00/주말09:00~18:00,해당없음,매주월요일및법정공휴일,해당없음,300,,14310,0,0,0,6,37.6457863025,126.8942191203
고양시,아람누리도서관,지자체,지자체직영,경기도 고양시 일산동구 중앙로 1286 (마두동)경기도 고양시 일산동구 중앙로 1286 (마두동),031-8075-9038,2007-06-22,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",해당없음,"매월1/3주월요일,법정공휴일",해당없음,326,,160482,27484,2764,0,197,37.6613085327,126.7731874988
고양시,마두도서관,지자체,지자체직영,경기도 고양시 일산동구 일산로 355(마두동)경기도 고양시 일산동구 일산로 355(마두동),031-8075-9067,1999-05-27,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,향토문화자료실,책이음),09:00~18:00(어린이자료실)토일09:00~18:00(자료실전체)",해당없음,"매월2/4주월요일,법정공휴일",해당없음,323,,153036,5564,3771,0,130,37.6666808080,126.7820811961
고양시,백석도서관,지자체,지자체직영,경기도 고양시 일산동구 일산로 118 (백석동)경기도 고양시 일산동구 일산로 118 (백석동),031-8075-9090,2003-09-04,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월1/3주월요일,법정공휴일","매월1/3주월요일,법정공휴일",324,324,130272,5601,2271,0,156,37.6472188037,126.7936268007
고양시,풍동도서관,지자체,지자체직영,경기도 고양시 일산동구 숲속마을로 108 (풍동)경기도 고양시 일산동구 숲속마을로 108 (풍동),031-8075-9148,2008-10-28,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",해당없음,"매월1/3주월요일,법정공휴일",해당없음,325,,83287,5364,1552,0,101,37.6702297559,126.7951549566
고양시,식사도서관,지자체,지자체직영,경기도 고양시 일산동구 위시티2로 43-6 (식사동)경기도 고양시 일산동구 위시티2로 43-6 (식사동),031-8075-9190,2012-02-02,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,북라운지),09:00~18:00(어린이자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월2/4주월요일,법정공휴일","매월2/4주월요일,법정공휴일",193,193,82248,6543,1870,0,106,37.6760934526,126.8159196528
고양시,대화도서관,지자체,지자체직영,경기도 고양시 일산서구 일산로 689(대화동)  경기도 고양시 일산서구 일산로 689(대화동),031-8075-9130,2008-03-20,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월1/3주월요일,법정공휴일","매월1/3주월요일,법정공휴일",325,325,137373,6760,1732,0,141,37.6810445495,126.7539539668
고양시,한뫼도서관,지자체,지자체직영,경기도 고양시 일산서구 탄중로 284(일산동)경기도 고양시 일산서구 탄중로 284(일산동),031-8075-9115,2008-03-21,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월2/4주월요일,법정공휴일","매월2/4주월요일,법정공휴일",285,285,123569,8667,1922,0,137,37.6935498217,126.7762870179
고양시,주엽어린이도서관,지자체,지자체직영어린이,경기도 고양시 일산서구 주엽로 104(주엽동)경기도 고양시 일산서구 주엽로 104(주엽동),031-8075-9168,2007-06-28,www.goyanglib.or.kr,09:00~18:00,해당없음,"매월두/네번째월요일,법정공휴일",해당없음,324,,103567,17920,1307,0,43,37.6684602083,126.7565064574
고양시,가좌도서관,지자체,지자체직영,경기도 고양시 일산서구 가좌3로 16 (가좌동),031-8075-9380,2016-09-30,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(어린이자료실),주말09:00~18:00(모든자료실)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월2/4주월요일,법정공휴일","매월2/4주월요일,법정공휴일",324,324,75972,2136,1313,0,117,37.6861717209,126.7203092370
고양시,일산도서관,지자체,지자체위탁,경기도 고양시 일산서구 고양대로 586-65경기도 고양시 일산서구 고양대로 586-65,031-915-1313,2020-12-29,www.goyanglib.or.kr/MU/index.do,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(어린이자료실)토일09:00~18:00(자료실전체)",해당없음,"매월1/3주월요일,법정공휴일",해당없음,325,,38598,2425,541,0,124,37.6849949600,126.7644164289
성남시,중앙도서관,지자체,지자체직영,경기도 성남시 분당구 판교로 546(야탑동)경기도 성남시 분당구 판교로 546(야탑동),031-729-4500,2001-11-13,https://www.snlib.go.kr/ct,"문헌실평일09:00~22:00,주말09:00~18:00기타자료실09:00~18:00(주말동일)",07:00023:00,매주월요일및법정공휴일,"매월첫째,셋째월요일,신정,설날.추석연휴",289,320,304724,14869,10234,59910,72,37.4039682800,127.1347142400
성남시,중원어린이도서관,지자체,지자체직영어린이,경기도 성남시 중원구 산성대로 408번길 42경기도 성남시 중원구 산성대로 408번길 42,031-729-4350,2010-11-12,https://www.snlib.go.kr/cjw,"평일09:00~20:00주말:09:00~18:00(동절기(11~2월)는평일,주말9:00~18:00)",해당없음,매주월요일및법정공휴일,해당없음,297,,92496,13622,4658,0,27,37.4476161129,127.1631503562
성남시,분당도서관,지자체,지자체직영,경기도 성남시 분당구 불정로 110(정자동)경기도 성남시 분당구 불정로 110(정자동),031-729-4800,1999-10-27,https://www.snlib.go.kr/bd,"문헌실평일09:00~22:00,주말09:00~18:00기타자료실09:00~18:00(주말동일)",평일07:00023:00주말07:00~23:00,매주월요일및법정공휴일,"매월둘째,넷째월요일,신정,설날.추석연휴",300,334,307286,17089,10658,0,79,37.3581117579,127.1165756578
성남시,구미도서관,지자체,지자체직영,경기도 성남시 분당구 미금일로 105경기도 성남시 분당구 미금일로 105,031-729-4700,2008-04-16,https://www.snlib.go.kr/gm,"문헌실평일09:00~22:00,주말09:00~18:00기타자료실09:00~18:00(주말동일)","평일,주말07:00023:00",매주금요일및법정공휴일,"매월첫째,셋째금요일,신정,설날.추석연휴",293,333,199122,20817,6468,0,111,37.3455354239,127.1077090646
성남시,무지개도서관,지자체,지자체직영,경기도 성남시 분당구 구미로 111(구미동 224번지)경기도 성남시 분당구 구미로 111(구미동 224번지),031-729-4770,2013-09-03,https://www.snlib.go.kr/mjg,"평일하절기09:00020:00,동절기09:00018:00토일09:00~18:00",평일주말09:00022:00,"매주월요일,법정공휴일","매월첫째,셋째월요일,신정,설날.추석연휴",294,325,41354,3911,0,0,32,37.3396200651,127.1208354427
성남시,판교도서관,지자체,지자체직영,경기도 성남시 분당구 판교공원로 4길 21(판교동)경기도 성남시 분당구 판교공원로 4길 21(판교동),031-729-4900,2010-03-25,https://www.snlib.go.kr/pg,"평일(문헌정보실09:00022:00/어린이실,전자실09:00018:00),주말(문헌정보실09:00018:00,어린이실,전자실09:00018:00)",평일/주말07:00023:00,매주금요일및법정공휴일,"매월둘째·넷째금요일,신정,설날.추석연휴",293,334,206696,14513,5802,0,111,,
성남시,판교어린이도서관,지자체,지자체직영어린이,경기도 성남시 분당구 판교역로 75경기도 성남시 분당구 판교역로 75,031-729-8880,2015-04-20,https://www.snlib.go.kr/cpg,"평일(문헌정보실09:00020:00/어린이열람실09:00018:00),주말(문헌정보실09:00018:00/어린이열람실09:00018:00)",평일07:00023:00주말07:00023:00,매주월요일및법정공휴일,"매월둘째·넷째월요일,신정,설날.추석연휴",298,334,110166,12443,2703,0,35,37.3875216463,127.1076711533
성남시,해오름도서관,지자체,지자체직영,경기도 성남시 중원구 희망로 403경기도 성남시 중원구 희망로 403,031-729-8770,2018-02-28,https://www.snlib.go.kr/hor,"자료실평일09:00~20:00(종합자료실),자료실평일09:00~18:00(어린이자료실,디지털자료실),자료실주말09:00~18:00",평일07:00023:00주말07:00022:00,매주월요일및법정공휴일,"매월첫째,셋째월요일,신정,설날.추석연휴",301,333,64578,4462,1740,0,72,37.4416023036,127.1594241766
성남시,운중도서관,지자체,지자체직영,경기도 성남시 분당구 판교원로 81번길 9경기도 성남시 분당구 판교원로 81번길 9,031-729-4370,2013-04-09,https://www.snlib.go.kr/uj,"평일(문헌정보실09:00020:00/어린이열람실09:00018:00),주말(문헌정보실09:00018:00/어린이열람실09:00018:00)",평일07:00022:00주말07:00022:00,매주월요일및법정공휴일,"매월첫째·셋째월요일,신정,설날·추석연휴",299,333,56648,6247,381,0,41,37.3900410423,127.0750778616
성남시,수정도서관,지자체,지자체위탁,경기도 성남시 수정구 수정로332번길 32경기도 성남시 수정구 수정로332번길 32,031-743-9600,2000-10-25,https://www.snlib.go.kr/sj,"평일09:00022:00(문헌정보실,연속간행물실),09:00018:00(어린이가족열람실,전자정보실)/주말09:00018:00(문헌정보실,연속간행물실,어린이가족열람실,전자정보실)/평일,휴일09:00~18:00(어린이가족열람실,전자정보실)","평일,주말07:00023:00",매주월요일및법정공휴일,"매월둘째,넷째월요일,신정,설날.추석연휴",299,334,300548,9509,15779,0,94,37.4522554431,127.1528634869
성남시,논골도서관,지자체,지자체직영,경기도 성남시 수정구 논골로 23번길 2경기도 성남시 수정구 논골로 23번길 2,031-729-4440,2020-02-11,https://snlib.go.kr/ng,평일09:00~20:00주말:09:00~18:00,해당없음,매주월요일및법정공휴일,해당없음,300,300,16476,172,0,0,16,37.4561970564,127.1599685738
성남시,서현도서관,지자체,지자체직영,경기도 성남시 분당구 중앙공원로 77(서현동)경기도 성남시 분당구 중앙공원로 77(서현동),031-729-8700,2019-01-30,https://www.snlib.go.kr/sh,"평일(종합자료실09:00022:00/어린이열람실,기타자료실09:00018:00),주말(종합자료실,어린이열람실,기타자료실09:00018:00)","열람실평일,주말07:00023:00",매주금요일및법정공휴일,"매월첫째,셋째금요일,신정,설날.추석연휴",295,332,75858,7112,1900,0,54,37.3835901976,127.1324748615
성남시,복정도서관,지자체,지자체직영,경기도 성남시 수정구 복정로 118번길 7경기도 성남시 수정구 복정로 118번길 7,031-729-8710,2020-01-29,https://www.snlib.go.kr/bj,"평일(종합자료실09:00022:00/어린이열람실,기타자료실09:00018:00),주말(종합자료실,어린이열람실,기타자료실09:00018:00)",열람실평일.휴일07:00023:00,매주금요일및법정공휴일,"매월둘째·넷째금요일,신정,설날.추석연휴",296,334,48478,2624,0,0,74,37.4637438892,127.1278537030
성남시,위례도서관,지자체,지자체직영,경기도 성남시 수정구 위례동 순환로 125 위례행정복지센터 4층,031-729-8950,2020-07-01,https://www.snlib.go.kr/wr,"평일09:00020:00(종합자료실),09:00018:00(어린이실),주말09:00018:00",해당없음,매주월요일및법정공휴일,해당없음,300,,28474,4097,0,0,32,37.4713780539,127.1423141394
성남시,라이브러리티티섬,사립(도서문화재단씨앗),사립,"경기도 성남시 중원구 광명로 120, 9-12층경기도 성남시 중원구 광명로 120, 9-12층",031-753-1219,2021-08-31,https://ttsome.org/,수0토13:00021:00,수0토13:00021:00,"매주일,월,화및법정공휴일",해당없음,201,,14925,48,0,33,38,37.4363403222,127.1418140278
성남시,책테마파크도서관,지자체,지자체직영,경기도 성남시 분당구 문정로 145,031-729-1765,2022-11-03,https://www.snlib.go.kr/bt,09:00~18:00,해당없음,매주월요일및공휴일,해당없음,51,,7626,,0,0,8,37.3807921772,127.1520974990
화성시,남양도서관,지자체,지자체직영,경기도 화성시 역골중앙로 143경기도 화성시 역골중앙로 143,031-356-5241,1994-04-01,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),토/일요일09:00~18:00(어린이자료실,전자정보자료실)",08:00~24:00,매월두번째월요일및법정공휴일,매월두번째월요일및법정공휴일,332,332,126379,8182,0,0,65,37.2103686038,126.8250040616
화성시,태안도서관,지자체,지자체위탁,경기도 화성시 화산중앙로 19경기도 화성시 화산중앙로 19,031-223-4764,1998-03-10,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,전자정보자료실)토/일요일09:00~18:00(전체)",08:00~24:00,매월두번째월요일및법정공휴일,매월두번째월요일및법정공휴일,331,336,106246,8793,4599,0,62,37.2060388408,127.0138033926
화성시,삼괴도서관,지자체,지자체위탁,경기도 화성시 우정읍 쌍봉로 109-26경기도 화성시 우정읍 쌍봉로 109-26,031-358-2101,2004-04-30,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,전자정보자료실)토/일요일09:00~18:00(전체)",08:00~24:00,매월두번째월요일및법정공휴일,매월두번째월요일및법정공휴일,332,336,88569,6599,4023,0,52,37.0893119847,126.8143209225
화성시,병점도서관,지자체,지자체위탁,경기도 화성시 병점3로 132-6경기도 화성시 병점3로 132-6,031-226-1822,2005-09-01,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,전자정보자료실,영어자료실),토/일요일09:00~18:00(전체)",08:00~24:00,매월첫번째월요일및법정공휴일,매월첫번째월요일및법정공휴일,271,272,115861,16460,4774,0,60,37.2123417286,127.0461312318
화성시,봉담도서관,지자체,지자체위탁,경기도 화성시 봉담읍 샘마을 1길 8-4경기도 화성시 봉담읍 샘마을 1길 8-4,031-227-7281,2009-12-23,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,유아자료실,전자정보자료실)토/일요일09:00~18:00(전체)",08:00~24:00,매월첫번째월요일및법정공휴일,매월첫번째월요일및법정공휴일,335,337,111861,16692,3970,0,80,37.2194115869,126.9490540034
화성시,동탄복합문화센터도서관,지자체,지자체위탁,경기도 화성시 노작로 134 (반송동 108)경기도 화성시 노작로 134 (반송동 108),031-8015-8200,2011-01-02,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,전자정보자료실)토/일요일09:00~18:00(전체)",08:00~24:00,매월두번째월요일및법정공휴일,매월두번째월요일및법정공휴일,326,334,190842,17189,4329,79833,77,37.2007035756,127.0750146691
화성시,정남도서관,지자체,지자체위탁,경기도 화성시 만년로 527 경기도 화성시 만년로 527,031-8059-4946,2013-06-26,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실,어린이자료실),09:00~18:00(전자정보자료실),토/일요일09:00~18:00(전체)",08:00~24:00,매월첫번째월요일및법정공휴일,매월첫번째월요일및법정공휴일,335,337,38704,4856,1632,0,58,37.1682122738,126.9831381784
화성시,두빛나래어린이도서관,지자체,지자체위탁어린이,경기도 화성시 동탄숲속로69-14 경기도 화성시 동탄숲속로69-14,031-8003-0748,2009-06-23,www.hscitylib.or.kr,"평일,토/일요일09:00~18:00(전체)",해당없음,매월두번째월요일및법정공휴일,해당없음,166,,62864,12753,2197,0,34,37.2092516401,127.0561010102
화성시,둥지나래어린이도서관,지자체,지자체위탁어린이,경기도 화성시 향남읍 행정중앙2로 88경기도 화성시 향남읍 행정중앙2로 88,031-353-8162,2010-03-09,www.hscitylib.or.kr,"평일,토/일요일09:00~18:00(전체)",해당없음,매월첫번째월요일및법정공휴일,해당없음,335,,60699,13462,2034,0,57,37.1291737733,126.9247725937
화성시,진안도서관,지자체,지자체위탁,경기도 화성시 병점중앙로 229경기도 화성시 병점중앙로 229,031-224-9977,2016-09-01,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,전자정보자료실)토/일요일09:00~18:00(전체)",08:00~24:00,매월첫번째월요일및법정공휴일,매월첫번째월요일및법정공휴일,334,336,81199,8175,3629,0,78,37.2173150650,127.0339061765
화성시,동탄다원이음터도서관,지자체,지자체위탁,경기도 화성시 동탄순환대로 754-14경기도 화성시 동탄순환대로 754-14,031-372-9611,2019-05-07,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실,전자정보자료실)토/일요일09:00~18:00(전체)",08:00~24:00,매월두번째월요일및법정공휴일,매월두번째월요일및법정공휴일,334,335,73719,6096,2630,0,92,37.2105318838,127.1045096193
화성시,송린이음터도서관,지자체,지자체위탁,경기도 화성시 수노을2로 150경기도 화성시 수노을2로 150,031-356-9680,2019-08-30,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실)토/일요일09:00~18:00(전체)",해당없음,매월두번째월요일및법정공휴일,해당없음,334,,50423,4101,0,0,70,37.2773275610,126.8225115907
화성시,목동이음터도서관,지자체,지자체위탁,경기도 화성시 동탄순환대로20길 6경기도 화성시 동탄순환대로20길 6,031-378-6771,2019-12-30,www.hscitylib.or.kr,"평일09:00~22:00(통합자료실),09:00~18:00(뮤직스테이)토/일요일09:00~18:00(전체)",해당없음,매월첫번째월요일및법정공휴일,해당없음,333,,65084,4956,7565,0,17,37.1892857639,127.1238981106
화성시,왕배푸른숲도서관,지자체,지자체위탁,경기도 화성시 동탄대로12길 102경기도 화성시 동탄대로12길 102,031-372-4435,2021-04-29,www.hscitylib.or.kr,평일09:00~22:00주말09:00~18:00,해당없음,매월두번째월요일및법정공휴일,해당없음,334,,42100,3133,0,0,43,37.1792642219,127.1133583127
화성시,서연이음터도서관,지자체,지자체위탁,경기도 화성시 동탄순환대로 8길 57,031-378-1352,2021-08-23,www.hscitylib.or.kr,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실)토/일요일09:00~18:00(전체)",해당없음,매달첫번째월요일및법정공휴일,해당없음,334,,31879,1937,0,0,55,37.1605656464,127.1096017465
화성시,노을빛도서관,지자체,지자체위탁,경기도 화성시 병점노을로 19경기도 화성시 병점노을로 19,031-226-3301,2021-09-07,www.hscitylib.or.kr,평일09:00~22:00주말09:00~18:00,해당없음,매월첫번째월요일및법정공휴일,해당없음,335,,22238,2632,0,0,36,37.2012901061,127.0298465979
