어린이집명,주소,위도,경도
평택아너스어린이집,"경기도 평택시 평남로 671 104동 103호(비전동, 비전경남아너스빌아파트)",36.9938858,127.1099699
해링턴i어린이집,경기도 평택시 소사3로 22 효성해링턴플레이스 2단지 208동102호,36.9878033,127.1291729
효성다온어린이집,경기도 평택시 소사3로 22 효성해링턴플레이스 206동 104호,36.9878033,127.1291729
시립복창어린이집,경기도 평택시 신창로 12 (서정동),37.0747819,127.0425933
서정어린이집,경기도 평택시 서정로 205 (서정동),37.0665692,127.0561729
아이행복플러스어린이집,경기도 평택시 점촌로32번길 40 (서정동),37.0614804,127.0575980
알토란어린이집,"경기도 평택시 서정북로 99 105동 101호(서정동,더샵아파트)",37.0721127,127.0613847
아가사랑어린이집,"경기도 평택시 현촌3길 21 108동 105호(용이동, 평택용이금호어울림1단지)",37.0016692,127.1307448
하늘담은어린이집,"경기도 평택시 현촌3길 21 104동 102호(용이동, 평택용이금호어울림1단지)",37.0016692,127.1307448
원평어린이집,경기도 평택시 원평2로35번길 13 (평택동),36.9912372,127.0820853
스마일키즈어린이집,경기도 평택시 원평로25번길 61 군문주공아파트2단지 관리소옆 (군문동),36.9870175,127.0844064
필립스어린이집,경기도 평택시 원평로83번길 38-35,36.9900051,127.0807401
곰돌이어린이집,"경기도 평택시 원평로25번길 61 211동 101호(군문동, 군문주공2단지)",36.9870175,127.0844064
시립고덕르플로랑어린이집,경기도 평택시 고덕국제대로 202 관리동,37.0562368,127.0455911
시립고덕센트레빌어린이집,경기도 평택시 고덕갈평3로 50 관리동,37.0621457,127.0498184
시립고덕어울림스퀘어어린이집,경기도 평택시 고덕중앙2로 100 관리동,37.0438482,127.0456744
해님달님어린이집,경기도 평택시 팽성읍 근내길 34,36.9710552,127.0587658
꿈자람어린이집,경기도 평택시 팽성읍 팽성송화로 154 111동 101호(우미이노스빌아파트),36.9600337,127.0599393
리라어린이집,경기도 평택시 팽성읍 팽성송화로 154 107동 105호 (송화지구우미이노스빌),36.9600337,127.0599393
드림153어린이집,경기도 평택시 포승읍 여술4길 18-9,36.9901695,126.8448630
산새소리어린이집,경기도 평택시 현신3길 75 용이푸르지오1차 아파트 관리동 (용이동),36.9990692,127.1423222
아이랜드어린이집,경기도 평택시 현신7길 43 반도유보라 관리동 (용이동),36.9984869,127.1465455
꼬마아띠어린이집,"경기도 평택시 현촌3길 21 103-101(용이동, 평택용이금호어울림1단지)",37.0016692,127.1307448
맘스맘어린이집,"경기도 평택시 현신3길 76 ,205동 101호(용이동, 평택용이2차푸르지오아파트)",36.9975316,127.1426227
꿈을키우는라온어린이집,경기도 평택시 서탄면 수월암4길 72,37.1271246,127.0288451
시립더샵센트럴시티어린이집,경기도 평택시 지제동삭1로 41 관리동,37.0229222,127.0755031
시립힐스테이트지제어린이집,경기도 평택시 지제동삭1로 91 관리동,37.0229332,127.0806271
시립힐스테이트평택2차어린이집,경기도 평택시 세교6로 45 관리동,37.0102104,127.0866453
꿈그린 어린이집,경기도 평택시 세교3로 5 (세교동) 관리동,37.0022150,127.0804273
무지개어린이집,경기도 평택시 점촌로32번길 33 (서정동),37.0618500,127.0578940
그린별어린이집,"경기도 평택시 세교2로 38 101동 104호 (세교동, 개나리아파트)",37.0008083,127.0823288
꿈동산어린이집,"경기도 평택시 세교공원로 33 305동 105호(세교동, 부영2차아파트)",37.0037316,127.0814549
시립고덕파라곤어린이집,경기도 평택시 고덕국제대로 180 고덕국제신도시파라곤 관리동,37.0543140,127.0452164
시립제일풍경채어린이집,경기도 평택시 고덕국제대로 179 제일풍경채센트럴아파트 관리동,37.0534594,127.0421383
시립평택고덕어린이집,경기도 평택시 고덕여염로 20 평택고덕LH17단지 관리동,37.0377030,127.0466640
아이봄어린이집,경기도 평택시 고덕국제대로 202 288동 103호(고덕엘에이치르플로랑A),37.0562368,127.0455911
시립고덕하늘채시그니처어린이집,경기도 평택시 효덕새싹길 55 관리동,37.0202239,127.0345531
영화어린이집,"경기도 평택시 고덕면 궁2길 37-24 (고덕면,영화블렌하임아파트내 영화어린이집)",37.0219096,127.0336447
사랑모아어린이집,경기도 평택시 고덕면 궁2길 37-24 영화블렌하임아파트 206동 104호,37.0219096,127.0336447
행복한어린이집,경기도 평택시 고덕면 서동대로 2651 태평아파트 302동 101호,37.0171155,127.0339694
시립더샵센트럴3단지어린이집,경기도 평택시 동삭1로22번길 40 관리동,37.0223478,127.0933190
아이천사어린이집,"경기도 평택시 세교3로 8 102동 101호(세교동, 현대향촌아파트)",37.0011742,127.0796605
오렌지나라어린이집,"경기도 평택시 세교공원로 32 107동 102호(세교동, 보성청실아파트)",37.0022193,127.0831731
지제힐스맘어린이집,경기도 평택시 지제동삭1로 91 105동 101호,37.0229332,127.0806271
키즈앤맘어린이집,"경기도 평택시 세교공원로 66 502동 109호(세교동, 부영1차아파트)",37.0035948,127.0852822
힐스조이어린이집,경기도 평택시 세교6로 46 109동 103호,37.0120050,127.0879683
가온누리어린이집,경기도 평택시 동막길 98 (지산동),37.0746608,127.0939165
배화어린이집,경기도 평택시 지산천로 66 라이프아파트단지내 (독곡동),37.0830036,127.0610020
지산스위첸어린이집,"경기도 평택시 지산로 128 (지산동, KCC스위첸아파트 관리동 1층)",37.0799734,127.0685031
은혜어린이집,"경기도 평택시 송탄공원로 146 104동 114호(지산동, 아주)",37.0777588,127.0648393
해달별어린이집,"경기도 평택시 경기대로 1578 104동 102호(독곡동, 삼익아파트)",37.0854027,127.0630684
더샵아이사랑어린이집,경기도 평택시 지제동삭1로 163 113동 101호,37.0216886,127.0898780
리틀토리어린이집,경기도 평택시 상서재로 55 303동 102호,37.0214999,127.1006734
송정어린이집,"경기도 평택시 동삭로 397 107동 103호(동삭동, 삼익사이버아파트)",37.0215661,127.0971410
좋은나무어린이집,"경기도 평택시 서재로 36 107동 104호(동삭동, 서재자이아파트)",37.0111800,127.1016906
시립배다리마을5단지어린이집,경기도 평택시 죽백4로 60,37.0051548,127.1236215
시립소사벌푸르지오어린이집,경기도 평택시 평남로 996 소사벌푸르지오아파트 관리동,37.0083023,127.1021816
시립효성해링턴코트어린이집,경기도 평택시 죽백8길 37 123동 1층,37.0071699,127.1199864
LG이노텍어린이집,경기도 평택시 진위면 진위2산단로 111,37.1215877,127.0762192
시립청북 어린이집,경기도 평택시 청북면 청북산단로 48-9,37.0506317,126.9761627
꿈누리세상어린이집,경기도 평택시 청북읍 청북남로 365 청북브라운스톤아파트 관리동,37.0206092,126.9061384
이솔어린이집,경기도 평택시 청북읍 안청로1길 91 이안아파트 관리동 1층,37.0197753,126.9089527
청아어린이집,경기도 평택시 청북읍 안청로4길 42 청북이지더원아파트 관리동,37.0226359,126.9172773
시립코오롱하늘채어린이집,경기도 평택시 추담로 58-78 코오롱하늘채아파트 관리동,37.0590566,127.0790469
해찬솔어린이집,경기도 평택시 산단로121번길 40,37.0387241,127.0845208
다사랑어린이집,"경기도 평택시 칠괴길 138-33 105동 102호(칠괴동, 칠괴우림필유아파트)",37.0266142,127.0840220
쁘띠어린이집,"경기도 평택시 원칠원길 56 101동 105호 칠원동, 동광",37.0322944,127.1023529
평택리틀엔젤어린이집,경기도 평택시 신촌5로 56 동문굿모닝힐맘시티 405동 102호,37.0247839,127.1073760
하늘채어린이집,경기도 평택시 추담로 58-78 장안마을코오롱하늘채 1011동 101호,37.0590566,127.0790469
행복한그림어린이집,"경기도 평택시 원칠원길 56 104동 103호(칠원동, 동광)",37.0322944,127.1023529
시립영아전담신장어린이집,경기도 평택시 남산로65번길 46-11,37.0877717,127.0454456
평택청북5차부영사랑으로어린이집,경기도 평택시 청북읍 안청로1길 92 부영5차 관리동,37.0206420,126.9125702
한양아이뜰어린이집,경기도 평택시 청북읍 안청로4길 51 한양수자인아파트 관리동,37.0234543,126.9219357
꿈나무어린이집,경기도 평택시 동부공원로14번길 56 경기도 평택시 동부공원로 14번지,36.9927071,127.1180582
리틀예랑어린이집,"경기도 평택시 중앙로 301 102동 101호(비전동, 문화아파트)",36.9915018,127.1160050
베이비스쿨어린이집,"경기도 평택시 중앙로 335 103동 104호(비전동, 벽산아파트)",36.9919827,127.1197515
솔마루어린이집,"경기도 평택시 평택5로114번길 13 113동 103호(비전동, 현대이화아파트)",36.9971100,127.1108163
예꿈어린이집,"경기도 평택시 동부공원로 40 101동 102호(비전동, 신명나리아파트)",36.9933811,127.1196362
이화어린이집,"경기도 평택시 평택5로114번길 13 104동 104호(비전동, 현대이화아파트)",36.9971100,127.1108163
코끼리어린이집,"경기도 평택시 평남로 671 115동 103호(비전동, 비전경남아너스빌아파트)",36.9938858,127.1099699
벤자민어린이집,경기도 평택시 송탄로 90 현대아파트 109동101호 벤자민어린이집 (이충동),37.0531371,127.0572576
아이공간어린이집,"경기도 평택시 경기대로 1188 203동 103호(장당동, 우미이노스빌2차)",37.0520907,127.0613687
알라딘어린이집,"경기도 평택시 이충로 60 103동 104호(이충동, 이충마을미주3차아파트)",37.0624530,127.0692260
좋은씨앗어린이집,경기도 평택시 이충로35번길 19 정암마을뜨란채 관리동,37.0585534,127.0673729
풍경채열린어린이집,경기도 평택시 송탄로 27 제일풍경채장당센트럴아파트 관리동,37.0476054,127.0556361
현동빅스맘어린이집,"경기도 평택시 이충로 93-20 303동 107호(이충동, 부영아파트)",37.0616438,127.0660360
송탄리라어린이집,경기도 평택시 지산1로24번길 32 (지산동),37.0766362,127.0595465
해솔어린이집,경기도 평택시 지산2로 50 건영아파트 단지내 해솔어린이집,37.0765896,127.0637001
서희곰돌이어린이집,경기도 평택시 목천로 65-15 108동 102호(서희스타힐스아파트),37.0862603,127.0549455
꼬마천사어린이집,경기도 평택시 참이슬길 13 참이슬아파트 관리동1층,36.9900233,127.1186129
아이사랑어린이집,경기도 평택시 조개터로6번길 41-5,36.9873674,127.1032880
반도가람어린이집,"경기도 평택시 비전2로 297 죽백동, 소사벌 반도유보라 1단지",37.0084575,127.1135559
소사벌어린이집,"경기도 평택시 경기대로 508 관리동(비전동, 휴먼시아2단지아파트)",37.0048929,127.0967564
에코아이어린이집,"경기도 평택시 비전3로 115 관리동어린이집(죽백동, 중흥S클래스아파트)",37.0082075,127.1096820
예그리나어린이집,경기도 평택시 평택5로 271 롯데캐슬아파트 관리동 (비전동),36.9989184,127.0954029
우미린꿈의 어린이집,경기도 평택시 비전3로 76 우미린 센트럴파크 관리동 어린이집,37.0051052,127.1100343
햇님어린이집,경기도 평택시 중앙1로 81-1,36.9971245,127.0919734
효성반디어린이집,"경기도 평택시 평남로 865 관리동(비전동, 효성백년가약아파트)",37.0003373,127.1084917
기쁜사랑어린이집,"경기도 평택시 비전2로 70 313동 101호(비전동,엘에이치이곡마을3단지)",37.0032323,127.0978509
라니어린이집,경기도 평택시 비전2로 320 501동 101호,37.0103173,127.1136748
별초롱어린이집,"경기도 평택시 비전3로 76 107-101 (비전동, 우미린센트럴파크아파트)",37.0051052,127.1100343
아이린어린이집,경기도 평택시 비전2로 317 반도유보라아이파크 203-104,37.0101740,127.1113449
시립더샵센트럴자람어린이집,경기도 평택시 지제동삭1로 163 관리동,37.0216886,127.0898780
시립센트럴자이2단지어린이집,경기도 평택시 상서재로4길 13,37.0169427,127.1024251
시립센트럴자이3단지어린이집,경기도 평택시 상서재로 55 센트럴자이3단지아파트 관리동,37.0214999,127.1006734
더샵어린이집,경기도 평택시 지제동삭1로 163,37.0216886,127.0898780
삼육라이튼어린이집,"경기도 평택시 상서재로 55 관리동 (동삭동, 평택센트럴자이 3단지)",37.0214999,127.1006734
자이로얄키즈어린이집,"경기도 평택시 서재로 36 관리동(동삭동,서재자이아파트)",37.0111800,127.1016906
참이슬어린이집,"경기도 평택시 참이슬길 13 110동 104호(합정동, 참이슬아파트)",36.9900233,127.1186129
시립안중어린이집,경기도 평택시 안중읍 안현로서1길 59,36.9921218,126.9296181
꽃마리어린이집,경기도 평택시 안중읍 한촌길 112,36.9864760,126.9132722
효성잼잼어린이집,"경기도 평택시 평남로 865 108동 103호(비전동, 효성백년가약",37.0003373,127.1084917
시립에듀포레어린이집,경기도 평택시 용죽2로 30,36.9929176,127.1224451
시립효성해링턴1단지어린이집,경기도 평택시 소사3로 53 효성해링턴플레이스1단지 관리동,36.9904016,127.1252884
맑고향기로운연꽃동산어린이집,경기도 평택시 평택5로 203-5,36.9968055,127.1011347
고운아이어린이집,경기도 평택시 평남로 671 경남아너스빌 관리동 건물,36.9938858,127.1099699
또래모아어린이집,경기도 평택시 어인남로26번길 1 (비전동),36.9952040,127.0989732
비전아이뜰어린이집,"경기도 평택시 용죽2로 24 관리동어린이집(용이동, 평택비전센트럴푸르지오2차아파트)",36.9941941,127.1217238
아이파크어린이집,"경기도 평택시 용죽1로 65 104동 1층 관리동(용이동, 비전아이파크)",36.9989814,127.1251059
꿈그린몬테소리어린이집,경기도 평택시 안중읍 안현로서9길 164-9 건영캐스빌 관리동 1층,36.9879068,126.9181486
아이러브어린이집,경기도 평택시 안중읍 송담1로 55 지엔하임2차 아파트 관리동,36.9756891,126.9279402
우주어린이집,경기도 평택시 안중읍 행궁길 79-6,36.9795218,126.9147099
자연숲어린이집,경기도 평택시 안중읍 대반1길 21-21,36.9935047,126.9511561
중앙어린이집,경기도 평택시 서동대로 1832-23 안중우림아파트 관리동,36.9934581,126.9524814
지혜의숲어린이집,경기도 평택시 안중읍 안현로서7길 46 주공2차 주민복지관,36.9822869,126.9225986
힐스아이어린이집,경기도 평택시 안중읍 송담1로 65 힐스테이트 104동 1층,36.9770632,126.9286049
맑은샘 어린이집,경기도 평택시 안중읍 송담1로 85 지엔하임1차아파트103-101,36.9785586,126.9294733
우림어린이집,경기도 평택시 안중읍 안현로서9길 164-20 우림아파트 107동 102호,36.9856430,126.9180000
주주어린이집,경기도 평택시 안중읍 안현로서6길 111 현대2차302-105,36.9840289,126.9164238
하선어린이집,경기도 평택시 안중읍 안현로서7길 9  동신2차아파트 201동104호,36.9806674,126.9253610
시립오성어린이집,경기도 평택시 오성면 숙성1길 4-6,37.0093949,126.9857524
시립이편한세상평택용이1단지어린이집,경기도 평택시 신흥1로 67,37.0020299,127.1438265
금호온누리어린이집,"경기도 평택시 현촌1로 8 관리동 (용이동, 평택용이금호어울림2단지)",36.9985438,127.1296283
드림어린이집,경기도 평택시 비전3로 115 102동105호 (중흥S클래스아파트),37.0082075,127.1096820
푸르지오키즈어린이집,경기도 평택시 용죽1로 14 평택비젼푸르지오 1차 관리동 어린이집,36.9958323,127.1210455
아이자람어린이집,경기도 평택시 청북읍 청북남로 278 부영3차 304-104,37.0195353,126.9135711
튼튼이어린이집,경기도 평택시 청북읍 청북남로 277 부영2차 아파트 216동 102호,37.0176949,126.9137625
해아뜰어린이집,경기도 평택시 청북읍 안청로1길 12 부영1차아파트 116동 103호,37.0160539,126.9143937
텔스타 어린이집,경기도 평택시 청북읍 현곡산단로93번길 89,37.0390841,126.9444288
시립안정어린이집,경기도 평택시 팽성읍 안정순환로186번길 4 시립안정어린이집,36.9630453,127.0443226
대원좋은친구들어린이집,경기도 평택시 팽성읍 부용로 36,36.9636500,127.0601166
서화어린이집,경기도 평택시 팽성읍 추팔산단로 23,36.9629942,127.0714525
우미어린이집,경기도 평택시 팽성읍 팽성송화로 154 관리동,36.9600337,127.0599393
키즈랜드어린이집,경기도 평택시 팽성읍 송화2길 36,36.9512341,127.0493867
동화나라어린이집,경기도 평택시 지산3로 65-11,37.0806029,127.0630581
예닮키즈 빅스맘 어린이집,경기도 평택시 지산천로 34-12,37.0828602,127.0637731
축복어린이집,경기도 평택시 지산로175번길 4-10,37.0807953,127.0754564
토리어린이집,경기도 평택시 오좌동길 55,37.0850741,127.0659885
예닮 빅스맘 어린이집,경기도 평택시 지산천로 34-12,37.0828602,127.0637731
코아루자람어린이집,"경기도 평택시 지산로 137 102-102호 (지산동, 지산코아루 아파트)",37.0819360,127.0689590
시립굿모닝힐맘시티1단지어린이집,경기도 평택시 신촌1로 9 동문굿모닝힐맘시티1단지내,37.0264779,127.1020339
스위첸베베 어린이집,"경기도 평택시 지산로 128 108동 103호(지산동, KCC스위첸아파트)",37.0799734,127.0685031
즐거운어린이집,"경기도 평택시 송탄공원로 145 101동 103호(지산동, 미주2차아파트)",37.0792134,127.0643482
시립가곡어린이집,경기도 평택시 진위면 가곡길 98,37.1179212,127.0744648
연꽃어린이집,경기도 평택시 진위면 진위서로 74-12,37.1074602,127.0701177
LG전자 평택어린이집,경기도 평택시 진위면 엘지로 222 LG전자기숙사 백합동 1층,37.1290327,127.0916202
시립행복다온어린이집,경기도 평택시 청북읍 안청로1길 21 청북LHB12단지 102동 1층,37.0147188,126.9141270
솔가람어린이집,경기도 평택시 청북읍 옥길1길 295,37.0243395,126.9082289
창의어린이집,경기도 평택시 청북읍 옥길1길 156-1,37.0267996,126.9112079
청북숲어린이집,경기도 평택시 청북읍 옥길1길 192,37.0239913,126.9111913
초록샘어린이집,경기도 평택시 청북읍 옥길1길 244,37.0238991,126.9062769
아이뜰어린이집,경기도 평택시 잔다리1길 29 (세교동),37.0056746,127.0802073
시립굿모닝힐맘시티3단지어린이집,경기도 평택시 신촌5로 20 관리동,37.0250825,127.1009634
시립굿모닝힐맘시티4단지어린이집,경기도 평택시 신촌5로 56 평택지제역동문굿모닝힐맘시티4단지,37.0247839,127.1073760
시립송탄공단어린이집,경기도 평택시 산단로15번길 7 (모곡동),37.0374879,127.0717484
우림천사어린이집,경기도 평택시 막곡길 11 우림필유아파트 관리동 (가재동),37.0403656,127.0838843
장안어린이집,경기도 평택시 추담로 56-38,37.0562838,127.0773887
현진어린이집,경기도 평택시 원칠원길 56 동광아파트 1층 관리동,37.0322944,127.1023529
동문베베어린이집,경기도 평택시 신촌1로 9 동문굿모닝힐맘시티 105동 104호,37.0264779,127.1020339
예빛아이어린이집,"경기도 평택시 추담로 58-78 1022동 101호 (장안동, 코오롱하늘채)",37.0590566,127.0790469
하늘빛어린이집,"경기도 평택시 막곡길 11 104동 102호(가재동, 우림필유)",37.0403656,127.0838843
햇살맘 어린이집,경기도 평택시 추담로 58-78 장안마을코오롱하늘채 1003동 103호,37.0590566,127.0790469
자람어린이집,경기도 평택시 삼남로 17-6,37.0284574,127.0997900
시립송탄서희어린이집,경기도 평택시 목천로 65-15 관리동,37.0862603,127.0549455
키즈키즈어린이집,경기도 평택시 남산로 67-6,37.0870309,127.0490235
공군오산기지어린이집,경기도 평택시 신장로 55,37.0813753,127.0471980
민들레 어린이집,경기도 평택시 평택로 22 민들레어린이집,36.9899616,127.0893982
뽀로로어린이집,경기도 평택시 지산로37번길 10 장미아파트 (지산동),37.0797581,127.0593949
sk베베어린이집,"경기도 평택시 소사2길 9 108동 101호(소사동, 평택소사에스케이뷰아파트)",36.9895607,127.1239872
걸음마어린이집,"경기도 평택시 평남로 671 105동 103호(비전동, 비전경남아너스빌아파트)",36.9938858,127.1099699
꿈쟁이어린이집,경기도 평택시 매봉산4길 54 꿈쟁이어린이집 (비전동),36.9959621,127.1058466
무지개나라어린이집,"경기도 평택시 평택4로 124 103동 104호(비전동, 럭키덕동아파트)",36.9981149,127.1046987
비전푸르지오어린이집,경기도 평택시 용죽1로 14 110동 104호,36.9958323,127.1210455
사랑나무i어린이집,경기도 평택시 소사3로 22 효성해링턴플레이스 2단지 203동 101호,36.9878033,127.1291729
아가동산어린이집,경기도 평택시 팔각정길 8-14,36.9979782,127.1020667
아마데우스어린이집,경기도 평택시 매봉산5길 3 (비전동),36.9960623,127.1058021
예쁜아이어린이집,"경기도 평택시 평택4로 124 108동 106호(비전동, 럭키덕동아파트)",36.9981149,127.1046987
지혜샘어린이집,"경기도 평택시 평남로 737 102동 104호(비전동, 한빛아파트)",36.9961525,127.1158816
태산어린이집,"경기도 평택시 매봉산1길 11 101동 101호(비전동, 태산)",36.9985308,127.1067817
키즈월드어린이집,경기도 평택시 청북읍 옥길1길 240,37.0236450,126.9065471
평택청북1차부영사랑으로어린이집,경기도 평택시 청북읍 안청로1길 12 부영1차아파트 관리동,37.0160539,126.9143937
평택청북2차부영사랑으로어린이집,경기도 평택시 청북읍 청북남로 277 부영2차아파트 관리동,37.0176949,126.9137625
평택청북3차부영사랑으로어린이집,경기도 평택시 청북읍 청북남로 278 부영3차 관리동,37.0195353,126.9135711
한내들무지개어린이집,경기도 평택시 청북읍 안청로4길 53 유승한내들퍼스트뷰아파트 관리동,37.0234228,126.9246661
러블리어린이집,경기도 평택시 청북읍 청북남로 277 부영아파트 203동 101호,37.0176949,126.9137625
부영꼬망세어린이집,경기도 평택시 청북읍 안청로1길 92 508-103(부영5차아파트),37.0206420,126.9125702
모아미래도 어린이집,경기도 평택시 포승읍 여술로 74 모아미래도 아파트 관리동 1층,36.9906119,126.8500215
