공원명,주소,위도,경도
잔다리 근린공원,경기도 평택시 세교동 55,37.004773,127.087643
남산 근린공원,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893
남산공원,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809
농성 근린공원,경기도 평택시 팽성읍 안정리 78-27,36.965206,127.043748
다솜 근린공원(소사벌택지 1호),경기도 평택시 비전동 1005-1 1028-3 1089-3,37.002667,127.093562
당산 근린공원(소사벌택지 3호),경기도 평택시 죽백동 728공,37.009141,127.116307
덕동산 근린공원(비전지구),경기도 평택시 비전동 산84-14,36.997727,127.100058
동부 근린공원(비전3지구),경기도 평택시 비전동 880,36.993988,127.118683
동부그린 근린공원(비전3지구),경기도 평택시 비전동 875,36.996786,127.117584
동삭 근린공원(동삭지구 1호),경기도 평택시 동삭동 산38-2,37.022762,127.090661
모산 근린공원,경기도 평택시 동삭동 396,37.014183,127.093286
배나무 근린공원(소사벌택지 4호),경기도 평택시 죽백동 764공,37.006145,127.116709
배다리 근린공원(소사벌택지 5호),경기도 평택시 죽백동 800공,37.001031,127.11924
부용산 근린공원,경기도 평택시 팽성읍 객사리 산3,36.96763,127.0604
비전 근린공원(매봉산),경기도 평택시 비전동 274-6,36.995058,127.103395
사군자 근린공원(서재지구),경기도 평택시 동삭동 710,37.007972,127.097251
사색 근린공원(서재지구),경기도 평택시 동삭동 719,37.012872,127.098871
삼각산(평택) 근린공원,경기도 평택시 비전동 473-78,37.001172,127.090938
상서재동초 근린공원(동삭2지구),경기도 평택시 동삭동 산25-1,37.018494,127.098362
상서재마당 근린공원(동삭2지구 근린2호),경기도 평택시 동삭동 산1,37.013885,127.102771
생기자리 근린공원(용죽지구),경기도 평택시 용이동 산122번지,37.006435,127.136474
세교 근린공원(세교지구),경기도 평택시 세교동 556-1,37.002585,127.083758
솔숲 근린공원(소사2지구),경기도 평택시 소사동 산13-1,36.990325,127.130417
송화 근린공원,경기도 평택시 팽성읍 송화리 106-1,36.958616,127.057677
신흥 근린공원(신흥지구),경기도 평택시 용이동 744-1번지,37.003764,127.148865
안정 근린공원,경기도 평택시 팽성읍 송화리 68-55,36.960697,127.053128
역사유적 근린공원(소사지구),경기도 평택시 소사동 506,36.987599,127.120279
영신 제1호 근린공원(영신지구),경기도 평택시 동삭동 589-3,37.018323,127.083491
영신이들 근린공원(지제 세교지구),경기도 평택시 세교동 392답,37.01125,127.073562
용이 근린공원(용이지구 3호),경기도 평택시 용이동 441-1,36.996314,127.136287
원동 근린공원 (모산영신지구),경기도 평택시 동삭동 467-9,37.022131,127.087362
은실 근린공원,경기도 평택시 세교동 산86-1,37.006568,127.081995
이화 근린공원(용이지구 2호),경기도 평택시 용이동 483,36.999855,127.145107
죽백 근린공원(용죽지구),경기도 평택시 용이동 561-1번지,37.001502,127.14932
지제울 근린공원(지제 세교지구),경기도 평택시 지제동 624-2답,37.017364,127.077589
추팔 근린공원(송화택지),경기도 평택시 팽성읍 추팔리 398-2,36.951944,127.075162
통복(원평) 근린공원,경기도 평택시 통복동 170,36.990316,127.08003
평택공단 근린공원,경기도 평택시 세교동 540,37.010515,127.079436
풀내음 근린공원(소사2지구),경기도 평택시 소사동 81-1,36.986737,127.126498
하날 근린공원(소사벌택지 2호),경기도 평택시 비전동 1035공,37.004393,127.110811
현신 근린공원(용이지구 1호),경기도 평택시 용이동 494-1,36.998446,127.151239
현촌 근린공원(현촌지구),경기도 평택시 용이동 602-2,36.997396,127.130501
노성1리 마을쉼터,경기도 평택시 팽성읍 노성리 42-1,36.9298,127.0315
노성2리 마을쉼터,경기도 평택시 팽성읍 노성리 79-9,36.935208,127.021417
노양1리 마을쉼터,경기도 평택시 팽성읍 노양리 40-15,36.936252,126.999602
노양2리 마을쉼터,경기도 평택시 팽성읍 노양리 14-9,36.941074,127.006815
노와1리 마을쉼터,경기도 평택시 팽성읍 노와리 95-1,36.958509,127.087795
노와2리 마을쉼터,경기도 평택시 팽성읍 노와리 244-2,36.949849,127.096921
노와4리 마을쉼터,경기도 평택시 팽성읍 노와리 153-190,36.951728,127.081941
대사1리 마을쉼터,경기도 평택시 팽성읍 대사리 205-7,36.944426,127.062246
동창리 마을쉼터,경기도 평택시 팽성읍 동창리 121-2,36.97213,127.03442
두1리 마을쉼터,경기도 평택시 팽성읍 두리 123-14,36.977043,127.06472
두2리 마을쉼터,경기도 평택시 팽성읍 두리 36-18,36.970214,127.063551
두정2리 마을쉼터,경기도 평택시 팽성읍 두정리 138-6,36.945054,127.026243
두정3리 마을쉼터,경기도 평택시 팽성읍 두정리 163-127,36.9445,127.032089
본정1리 마을쉼터,경기도 평택시 팽성읍 본정리 47-16,36.946182,127.007023
비전쌈지,경기도 평택시 비전동 788-3,37.000544,127.092964
석근1리 마을쉼터,경기도 평택시 팽성읍 석근리 8-9,36.939908,127.054346
석봉리 마을쉼터,경기도 평택시 팽성읍 석봉리 123-5,36.983403,127.043641
신대1리 마을쉼터,경기도 평택시 팽성읍 신대리 225-2,36.947249,127.000419
신대2리 마을쉼터,경기도 평택시 팽성읍 신대리 211-53,36.946419,126.999132
안정4리 마을쉼터,경기도 평택시 팽성읍 안정리 100-8,36.96173,127.040502
유천동 마을쉼터,경기도 평택시 유천동 788,36.973241,127.102948
자란쌈지 마을쉼터,경기도 평택시 비전동 600-25,36.99745,127.09446
평궁리 마을쉼터,경기도 평택시 팽성읍 평궁리 474-12,36.971743,127.088742
함정리 마을쉼터,경기도 평택시 팽성읍 함정리 155-11,36.953171,127.01421
율북 묘지공원,경기도 평택시 청북면 율북리 산41,37.071975,126.969708
내리 문화공원,경기도 평택시 팽성읍 내리 산3-3,36.975255,127.032559
마을마당 문화공원(소사2지구),경기도 평택시 소사동 산6,36.990495,127.131715
신흥 문화공원(신흥지구),경기도 평택시 용이동 752,37.00097,127.145431
고잔 소공원,경기도 평택시 신대동 368-18,36.996702,127.068161
남산1호 소공원(팽성6호),경기도 평택시 팽성읍 남산리 561-1,36.954545,127.063028
남산2호 소공원(팽성7호),경기도 평택시 팽성읍 남산리 564,36.953862,127.064383
노와이주1호 소공원(노와지구13호),경기도 평택시 팽성읍 노와리 460-3,36.946808,127.092641
노와이주2호 소공원(노와지구14호),경기도 평택시 팽성읍 노와리 461-17,36.946282,127.093677
두정1리 소공원,경기도 평택시 팽성읍 두정리 45-1,36.940061,127.038337
등꽃향기 소공원,경기도 평택시 비전동 839-10,36.99402,127.111466
롯데캐슬 소공원,경기도 평택시 비전동 953 954,36.99979,127.096026
본정리 소공원,경기도 평택시 팽성읍 본정리 산9-2,36.94882,127.010414
상서재3호 소공원(동삭2지구),경기도 평택시 동삭동 산15-1,37.016989,127.096875
소공원 1호(동삭 세교지구),경기도 평택시 동삭동 179-1,37.004417,127.091063
잔다리 소공원,경기도 평택시 세교동 산6-2,37.010682,127.090992
소공원1호(두정지구),경기도 평택시 팽성읍 본정리 4-4,36.945392,127.021142
소공원2호(두정지구),경기도 평택시 팽성읍 본정리 27-1임,36.945744,127.023017
소공원3호(두정지구),경기도 평택시 팽성읍 본정리 31-3답,36.946666,127.023092
송화 소공원,경기도 평택시 팽성읍 송화리 834,36.961321,127.053609
통복1 소공원,경기도 평택시 신대동 8-7,36.997714,127.082209
어울림 소공원(소사2지구),경기도 평택시 소사동 122-1,36.989273,127.124384
원정(포승)소공원(쌍용지구),경기도 평택시 포승읍 원정리 221-85,36.999847,126.838805
원정22호 소공원(쌍용지구),경기도 평택시 포승읍 원정리 281-1,36.996347,126.840059
원정리 소공원,경기도 평택시 팽성읍 원정리 87-2,36.974819,127.04034
추팔 소공원,경기도 평택시 팽성읍 추팔리 296-1,36.96384,127.075481
화촌1 소공원,경기도 평택시 통복동 242-2,36.992578,127.072429
화촌2 소공원,경기도 평택시 통복동 242-6,36.992284,127.072444
1호 물빛1 수변공원(소사벌택지  이곡수변),경기도 평택시 비전동 999공,37.005251,127.10066
2호 물빛2 수변공원(소사벌택지 이곡수변),경기도 평택시 비전동 1016공,37.003573,127.103911
3호 소리 수변공원(소사벌택지),경기도 평택시 죽백동 737-2공,37.007098,127.111214
4호 소리 수변공원(소사벌택지),경기도 평택시 비전동 1032공,37.004339,127.107357
5호 물빛3 수변공원(소사벌택지 이곡수변),경기도 평택시 비전동 1069공,37.00246,127.107881
6호 물빛4 수변공원(소사벌택지 이곡수변),경기도 평택시 비전동 1065 1093 1099,37.001798,127.111412
7호 너울 수변공원(소사벌택지),경기도 평택시 비전동 966 966-1~6,37.003257,127.090635
군문 수변공원,경기도 평택시 군문동 201-1,36.982112,127.091679
상서재 1호 수변공원(동삭2지구),경기도 평택시 동삭동 12-1,37.015396,127.104691
11호 어린이공원(서정동),경기도 평택시 동삭동 186-1,37.006472,127.093243
14호 어린이공원(고덕국제화지구  두릉리),경기도 평택시 세교동 산3-8,37.011591,127.091001
17호 어린이공원(고덕국제화지구 좌교리),경기도 평택시 세교동 26,37.004107,127.089859
18호 어린이공원(고덕국제화지구 해창리),경기도 평택시 세교동 288-1,37.008211,127.08741
19호 어린이공원(고덕국제화지구),경기도 평택시 세교동 37-3,37.006081,127.087364
1호 어린이공원(동삭 세교지구),경기도 평택시 평택동 38,36.993417,127.087884
1호 어린이공원(포승지구 BIX),경기도 평택시 군문동 360-3,36.987728,127.084538
1호 어린이공원(화양지구),경기도 평택시 동삭동 546,37.020321,127.081163
20호 어린이공원(고덕국제화지구  해창리),경기도 평택시 세교동 559-2,37.000296,127.083343
23호 현덕 어린이공원(인광2지구),경기도 평택시 지제동 산7-7임,37.022168,127.077426
25호 어린이공원(여염리),경기도 평택시 비전동 927,36.995114,127.109641
26호 어린이공원(서정동),경기도 평택시 용이동 690,36.993175,127.124286
27호 어린이공원(율포리),경기도 평택시 죽백동 816-4공,37.002339,127.124685
28호 어린이공원(서정동),경기도 평택시 세교동 408-2전,37.013263,127.075078
29호 어린이공원(서정동),경기도 평택시 비전동 1075공,37.002226,127.107017
2호 어린이공원(동삭 세교지구),경기도 평택시 비전동 1004-1공,37.003243,127.096344
2호 어린이공원(여염리),경기도 평택시 비전동 981공,37.006453,127.101332
2호 어린이공원(화양지구),경기도 평택시 비전동 784,37.001483,127.092427
30호 어린이공원(고덕국제화지구  율포리),경기도 평택시 동삭동 402-4,37.014959,127.091348
31호 어린이공원(고덕국제화지구 (좌교리),경기도 평택시 동삭동 474,37.020406,127.087155
32호 어린이공원(고덕국제화지구  해창리),경기도 평택시 팽성읍 노와리 460-1,36.946748,127.092348
33호 어린이공원(고덕국제화지구  해창리),경기도 평택시 동삭동 683-1,37.008536,127.092566
34호 어린이공원(고덕국제화지구  여염리),경기도 평택시 팽성읍 안정리 44-17,36.96358,127.045791
35호 어린이공원(여염리),경기도 평택시 군문동 368,36.986733,127.082337
36호 어린이공원(여염리),경기도 평택시 팽성읍 안정리 98-9,36.960841,127.041475
37호 어린이공원(장당동),경기도 평택시 소사동 산156-2,36.987296,127.118765
38호 어린이공원(서정동),경기도 평택시 동삭동 342-4,37.02067,127.095856
39호 어린이공원(서정동),경기도 평택시 비전동 888-1,36.992456,127.118302
3호 어린이공원(세교지구),경기도 평택시 죽백동 720-1공,37.008997,127.111722
3호 어린이공원(화양지구),경기도 평택시 평택동 312,36.989339,127.087918
40호 어린이공원(고덕국제화지구 두릉리),경기도 평택시 동삭동 41,37.013973,127.101586
41호 어린이공원(고덕국제화지구 두릉리),경기도 평택시 비전동 1020공,37.00305,127.103288
42호 어린이공원(고덕국제화지구 두릉리),경기도 평택시 소사동 95-1,36.988779,127.126921
43호 어린이공원(고덕국제화지구 해창리),경기도 평택시 비전동 852,36.992207,127.111111
44호 어린이공원(고덕국제화지구 율포리),경기도 평택시 비전동 867,36.997892,127.113339
45호 어린이공원(고덕국제화지구 율포리),경기도 평택시 죽백동 722-1공,37.007835,127.114714
46호 어린이공원(고덕국제화지구  해창리),경기도 평택시 세교동 190-4,37.003291,127.077025
47호 어린이공원(고덕국제화지구 당현리),경기도 평택시 비전동 1087공,37.001007,127.110353
48호 어린이공원(고덕국제화지구 율포리),경기도 평택시 동삭동 657-1,37.010922,127.093456
49호 어린이공원(율포리),경기도 평택시 지제동 640-3답,37.015581,127.073583
4호 어린이공원(화양지구),경기도 평택시 용이동 588-2,37.00204,127.133739
50호 어린이공원(고덕국제화지구  해창리),경기도 평택시 소사동 107-9,36.9924,127.129384
5호 어린이공원(화양지구),경기도 평택시 합정동 969,36.98861,127.112957
6호 어린이공원(화양지구),경기도 평택시 비전동 631-1,36.995846,127.088908
7호 어린이공원(화양지구),경기도 평택시 용이동 673,36.994217,127.12794
8호 어린이공원(서정동),경기도 평택시 팽성읍 송화리 786-2,36.960478,127.058004
8호 어린이공원(화양지구),경기도 평택시 세교동 562-6,36.99999,127.081609
9호 어린이공원(서정동),경기도 평택시 동삭동 678-3,37.01181,127.099547
JC 어린이공원,경기도 평택시 팽성읍 객사리 88-2,36.965569,127.064853
가족 어린이공원,경기도 평택시 비전동 885-1,36.99242,127.116668
가족(제2호) 어린이공원(영신지구),경기도 평택시 동삭동 산88-1,37.020748,127.079647
개나리 어린이공원,경기도 평택시 동삭동 695-8,37.008235,127.095028
거꾸로 어린이공원(지제세교지구),경기도 평택시 비전동 610-1,36.995889,127.093712
건지 어린이공원,경기도 평택시 소사동 525,36.989393,127.124254
경남아너스빌 어린이공원,경기도 평택시 소사동 23-4,36.988838,127.130491
골목길 어린이공원(용죽지구),경기도 평택시 비전동 879-2,36.994734,127.115778
광말 어린이공원,경기도 평택시 팽성읍 송화리 778-1,36.963975,127.059345
그린 어린이공원(소사벌택지 11호),경기도 평택시 비전동 969공,37.007471,127.10402
긴둥골 어린이공원(안중지구 택지개발),경기도 평택시 신대동 418-9,36.99526,127.066754
길마 어린이공원(청북지구 택지개발),경기도 평택시 합정동 908-4,36.98986,127.102063
꼬불길 어린이공원(지제세교지구),경기도 평택시 용이동 749-1번지,37.001736,127.148257
꽃잎소리 어린이공원(소사벌택지 9호),경기도 평택시 팽성읍 안정리 43-4,36.964653,127.045679
꿈동산 어린이공원(소사벌택지 3호),경기도 평택시 동삭동 575-1,37.020082,127.083718
나비 어린이공원(소사벌택지 2호),경기도 평택시 용이동 300-2번지,36.990964,127.121355
낙촌 어린이공원,경기도 평택시 통복동 22-2,36.998618,127.083086
내일 4호 어린이공원(모산영신지구),경기도 평택시 용이동 593-3,36.999606,127.131558
노래비 1호 어린이공원(모산영신지구),경기도 평택시 비전동 752-13,36.994051,127.10067
노루댕이 어린이공원(장당 3호),경기도 평택시 동삭동 412-14,37.016004,127.090542
노와이주 어린이공원(노와이주단지 12호),경기도 평택시 용이동 485-1,37.000023,127.14821
놀이 어린이공원(서재지구 80호),경기도 평택시 용이동 447-1,36.998348,127.139361
농성 어린이공원(안정2호 근린공원),경기도 평택시 용이동 459-1,36.996513,127.140007
높은들 어린이공원,경기도 평택시 용이동 453-4,36.995507,127.136516
늘푸른 어린이공원,경기도 평택시 비전동 1047공,37.002497,127.111008
늘푸른안정 어린이공원,경기도 평택시 세교동 555-1,37.001829,127.086017
대동 어린이공원(소사3지구),경기도 평택시 신대동 184-9,37.000529,127.058007
대장골 어린이공원(청북지구 택지개발),경기도 평택시 비전동 803,36.998698,127.101299
도곡 어린이공원(포승공단),경기도 평택시 비전동 798-1,37.000145,127.097266
도화동 어린이공원(안중지구 택지개발),경기도 평택시 세교동 230-59,37.006571,127.076627
돌우물 어린이공원,경기도 평택시 죽백동 778-1공,37.005663,127.120216
돌패기 어린이공원(청북지구 택지개발),경기도 평택시 비전동 826,36.996461,127.108229
동령 어린이공원,경기도 평택시 합정동 921-1,36.989147,127.09984
동막골(동구재) 어린이공원,경기도 평택시 합정동 930-1,36.987735,127.103446
동부 105호 어린이공원(신촌지구),경기도 평택시 세교동 557-1,37.003313,127.083109
동부 106호 어린이공원(신촌지구),경기도 평택시 팽성읍 추팔리 396-2,36.957551,127.078011
동삭 어린이공원(동삭지구),경기도 평택시 합정동 749,36.991862,127.096174
동일 어린이공원,경기도 평택시 통복동 73,36.998423,127.085552
두릉이주 어린이공원,경기도 평택시 팽성읍 안정리 169-50,36.959505,127.047945
둔터 어린이공원(청북지구 택지개발),경기도 평택시 팽성읍 송화리 770-1,36.963502,127.054582
둥실봉 어린이공원,경기도 평택시 합정동 774,36.990515,127.105605
뒷동산 어린이공원(소사벌택지 5호),경기도 평택시 동삭동 429-1,37.017869,127.08719
롯데인벤스 어린이공원,경기도 평택시 죽백동 748공,37.004445,127.113983
모산골 어린이공원(동삭2지구),경기도 평택시 동삭동 714,37.009731,127.100923
모험 어린이공원(소사벌택지 4호),경기도 평택시 합정동 881,36.990793,127.119713
무동 어린이공원(소사2지구),경기도 평택시 합정동 902-4,36.988787,127.105013
무지개 어린이공원,경기도 평택시 합정동 830,36.989137,127.091306
문화촌 어린이공원,경기도 평택시 합정동 836,36.990232,127.096101
물결 어린이공원(소사벌택지 6호),경기도 평택시 세교동 560-1,37.001993,127.07931
물방울(동부84호) 어린이공원(세교지구단위),경기도 평택시 합정동 871-5,36.98992,127.116372
현촌한마음 문화공원(현촌지구),경기도 평택시 용이동 596-7공,36.998927,127.133623
고덕 1호 문화공원 (고덕국제화지구),경기도 평택시 고덕면 율포리 356-9잡,37.054885,127.034647
노와이주단지 체육공원(노와지구),경기도 평택시 팽성읍 노와리 456공,36.947202,127.090014
11호 근린공원(고덕국제화지구  해창리),경기도 평택시 고덕면 해창리 531답,37.038837,127.016067
13호 근린공원(고덕국제화지구 좌교리),경기도 평택시 고덕면 좌교리 산35-4임,37.044113,127.032301
14호 근린공원(고덕국제화지구  해창리),경기도 평택시 고덕면 해창리 361-1전,37.032926,127.019145
2호 근린공원(고덕국제화지구 서정동),경기도 평택시 서정동 608-2답,37.072141,127.042956
3호 근린공원(고덕국제화지구 당현리),경기도 평택시 고덕면 당현리 457답,37.059962,127.034466
4호 근린공원(고덕국제화지구 두릉리),경기도 평택시 고덕면 두릉리 산32-5임,37.05882,127.021191
5호 근린공원(고덕국제화지구 율포리),경기도 평택시 고덕면 율포리 512-6잡,37.051142,127.019873
6호 근린공원(고덕국제화지구 좌교리),경기도 평택시 고덕면 좌교리 433-52전,37.046797,127.018503
7호 근린공원(고덕국제화지구 두릉리),경기도 평택시 고덕면 두릉리 576임,37.053903,127.017266
8호 근린공원(고덕국제화지구 두룡리),경기도 평택시 고덕면 두릉리 547-1번,37.050157,127.015155
9호 근린공원(고덕국제화지구 율포리),경기도 평택시 고덕면 율포리 539-5장,37.047085,127.014586
LG Digital Park일반산업단지 근린공원,경기도 평택시 진위면 청호리 367,37.128946,127.091568
가곡 근린공원,경기도 평택시 진위면 가곡리 70-1,37.11258,127.08718
갈곶 근린공원(진위제2산업단지),경기도 평택시 진위면 갈곶리 118,37.12396,127.079289
견산 근린공원,경기도 평택시 진위면 견산리 산9임,37.107238,127.077771
궁2리 근린공원(궁리2지구),경기도 평택시 고덕면 궁리 산32,37.022288,127.035645
모곡 근린공원,경기도 평택시 모곡동 444,37.035404,127.075836
반지산(돌산) 근린공원,경기도 평택시 이충동 662,37.058844,127.064732
봉골 근린공원(고덕일반산업단지),경기도 평택시 고덕면 여염리 1683공,37.026177,127.063527
봉남 근린공원,경기도 평택시 진위면 봉남리 산22-1,37.105507,127.092851
부락산분수 근린공원,경기도 평택시 이충동 279-1,37.065121,127.067652
상서재 근린공원(동삭2지구),경기도 평택시 칠원동 산56,37.022294,127.098857
상서재서초 근린공원(동삭2지구),경기도 평택시 칠원동 산63,37.035098,127.105155
서정 근린공원,경기도 평택시 서정동 201-7 201-8,37.063181,127.060854
석정 근린공원,경기도 평택시 이충동 산81-1,37.056071,127.061922
송탄 근린공원,경기도 평택시 지산동 산 182-3,37.078655,127.059925
수촌 근린공원(수촌지구),경기도 평택시 칠원동 313-1,37.01944,127.109343
신장 근린공원,경기도 평택시 신장동 370-2,37.085894,127.051198
신촌 새말 근린공원(신촌지구 동부 101호),경기도 평택시 칠원동 산36-36,37.024067,127.104973
여염 근린공원(고덕일반산업단지),경기도 평택시 고덕면 여염리 1650공,37.03082,127.055173
장당(석정) 근린공원,경기도 평택시 장당동 636 636-2,37.052747,127.063266
장당택지 근린공원,경기도 평택시 이충동 615,37.050776,127.057345
장안하늘채 근린공원(동부 25호),경기도 평택시 장안동 621,37.057621,127.077627
제1호 근린공원(가재지구),경기도 평택시 가재동 436-1,37.044253,127.07525
제1호 근린공원(브레인시티 일반산업단지),경기도 평택시 장안동 204-2,37.052902,127.087992
제2호 근린공원(가재지구),경기도 평택시 가재동 산58-1,37.042392,127.083782
제2호 근린공원(브레인시티 일반산업단지),경기도 평택시 장안동 61-4,37.056557,127.092852
제3호 근린공원(브레인시티 일반산업단지),경기도 평택시 장안동 산130,37.050579,127.092787
진위 근린공원,경기도 평택시 진위면 견산리 산16,37.109273,127.074837
진위산업단지 근린공원,경기도 평택시 진위면 청호리 342-4,37.122825,127.082002
충의 근린공원,경기도 평택시 이충동 692,37.059477,127.071108
칠괴 근린공원,경기도 평택시 칠괴동 579-1,37.032169,127.088287
가곡5리 마을쉼터,경기도 평택시 진위면 가곡리 419-4,37.115643,127.072373
견산1리 마을쉼터,경기도 평택시 진위면 견산리 409-1 410-1,37.108159,127.073751
견산2리 마을쉼터,경기도 평택시 진위면 견산리 24-3,37.107169,127.080433
견산3리 마을쉼터,경기도 평택시 진위면 견산리 372 396 373,37.109004,127.072384
견산5리 마을쉼터,경기도 평택시 진위면 견산리 439-2,37.107212,127.072677
고덕당현1리 마을쉼터,경기도 평택시 고덕면 당현리 341-1,37.065287,127.033445
고덕문화마을2 마을쉼터,경기도 평택시 고덕면 해창리 1148-4,37.038078,127.014455
마두1리 마을쉼터,경기도 평택시 서탄면 마두리 40-3,37.109829,127.023405
마산1리 마을쉼터,경기도 평택시 진위면 마산리 829-1,37.084656,127.084434
목천 마을쉼터,경기도 평택시 신장동 327-15 327-14 326-5~7,37.083503,127.054172
문곡1리 마을쉼터,경기도 평택시 고덕면 문곡리 419 419-1,37.066241,127.011993
수월암2리 마을쉼터,경기도 평택시 서탄면 수월암리 406 409 434-1,37.118986,127.034179
신리 마을쉼터,경기도 평택시 진위면 신리 126-3,37.097397,127.071037
신흥 마을쉼터,경기도 평택시 신장동 646-8,37.08666,127.05754
적봉 마을쉼터,경기도 평택시 서정동 972,37.077714,127.042113
하북2리 마을쉼터,경기도 평택시 진위면 하북리 187-12,37.104372,127.058457
하북3리 마을쉼터,경기도 평택시 진위면 하북리 350-11,37.099001,127.049593
회화리 마을쉼터,경기도 평택시 서탄면 회화리 133,37.09506,127.022973
부락산 문화공원(동부 130호),경기도 평택시 지산동 519-4,37.0714,127.075284
문화공원 1호(황해경제구역 현덕지구),경기도 평택시 현덕면 장수리 300-9,36.936623,126.905903
고덕문화마을1 소공원,경기도 평택시 고덕면 해창리 1141-1,37.040265,127.014809
금암2리 소공원,경기도 평택시 서탄면 금암리 469-8,37.110578,127.036043
동부19호 소공원,경기도 평택시 도일동 525,37.053,127.106322
상서재1호 소공원(동삭2지구),경기도 평택시 칠원동 334-4,37.019276,127.106952
상서재2호 소공원(동삭2지구),경기도 평택시 칠원동 337-1,37.019323,127.106823
