관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41173-00066,학운공원,근린공원,경기도 안양시 동안구 학의로 71,경기도 안양시 동안구 달안동 1100 일원,37.3990522,126.9480351,52843,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00067,평촌공원,근린공원,,경기도 안양시 동안구 부림동 1589-2,37.3953758,126.9562952,39499,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00068,평화공원,근린공원,,경기도 안양시 동안구 부흥동 1104-2,37.3900277,126.9481904,10019,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00069,희망공원,근린공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 호계동 1053,37.38554949,126.9536897,9635,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00070,중앙공원,근린공원,경기도 안양시 동안구 관평로 149,경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119843,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41171-00071,명학어린이공원,어린이공원,,경기도 안양시 만안구 안양8동 1280-3,37.3797165,126.9358369,1501,,,,,,1990-09-10,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00072,달래2어린이공원,어린이공원,경기도 안양시 만안구 학의로 71,경기도 안양시 만안구 안양3동 908-78,37.3998988,126.9110221,103,,,,,,1995-09-12,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00073,달래1어린이공원,어린이공원,,경기도 안양시 만안구 안양3동 908-64,37.3995997,126.9110631,343,,,,,,1995-09-12,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00074,꽃동산어린이공원,어린이공원,,경기도 안양시 만안구 박달1동 94-114,37.4014014,126.9107131,1098,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00075,개나리어린이공원,어린이공원,경기도 안양시 만안구 안양로343번길 57-7,경기도 안양시 만안구 안양동 873-39,37.4015094,126.9153175,1184,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00076,양지어린이공원,어린이공원,경기도 안양시 만안구 양화로72번길 9,경기도 안양시 만안구 안양동 897-24,37.400117,126.9136163,971,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00077,꿈동산어린이공원,어린이공원,,경기도 안양시 만안구 안양3동 695-190 일원,37.4014121,126.915407,699,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00078,호돌이어린이공원,어린이공원,경기도 안양시 만안구 경수대로 1394번길 호돌이공원,경기도 안양시 만안구 석수1동 382-15,37.4315556,126.9046936,1500,,,,,,1997-08-12,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00079,한라비발디어린이공원,어린이공원,,경기도 안양시 만안구 박달동 114-4,37.40222954,126.9020041,1710,,,,,,1997-10-15,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00080,안말어린이공원,어린이공원,,경기도 안양시 동안구 호계2동 918-28,37.3852388,126.9504385,1625,,,,,,1998-03-12,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00081,어우리지어린이공원,어린이공원,,경기도 안양시 동안구 비산1동 455-3,37.400377,126.9373275,1500,,,,,,1999-01-07,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00082,샘모루어린이공원,어린이공원,,경기도 안양시 동안구 비산1동 425-8,37.4005446,126.9408465,1500,,,,,,1999-01-07,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00083,포도원어린이공원,어린이공원,,경기도 안양시 동안구 호계3동 813-8,37.3638348,126.9622151,1500,,,,,,2001-04-24,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00084,호성어린이공원,어린이공원,,경기도 안양시 동안구 호계3동 805-14일원,37.3653805,126.9609049,1500,,,,,,2001-04-24,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00085,송암어린이공원,어린이공원,,경기도 안양시 동안구 호계3동 800-8일원,37.3657373,126.9608008,1505,,,,,,2001-04-24,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00086,병목안시민공원,체육공원,경기도 안양시 만안구병목안로 215,경기도 안양시 만안구 안양동 산82-2 일원,37.38528888,126.9076745,91728,,,,,,2001-12-07,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41173-00087,수풀내어린이공원,어린이공원,,경기도 안양시 동안구 비산1동 1164,37.4006248,126.930542,1899,,,,,,2002-09-30,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00088,꽃메산어린이공원,어린이공원,,경기도 안양시 만안구 석수3동 787-5 일원,37.408172,126.8998527,5160,,,,,,2005-04-25,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00089,동산어린이공원,어린이공원,,경기도 안양시 만안구 석수2동 485-20,37.4263322,126.9032993,520,,,,,,2005-05-02,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00090,삼덕공원,근린공원,경기도 안양시 만안구 삼덕로 106,경기도 안양시 만안구 안양동 782-19 일원,37.3973809,126.9164109,19376,,,,,,2005-12-07,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41171-00091,한신어린이공원,어린이공원,경기도 안양시 만안구 박달로497번길 57,경기도 안양시 만안구 박달동 37 일원,37.40438616,126.9066752,1370,,,,,,2005-12-19,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00092,친목어린이공원,어린이공원,,경기도 안양시 만안구 박달동 929-9,37.40909319,126.8857092,5644,,,,,,2005-12-27,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00093,금성어린이공원,어린이공원,,경기도 안양시 동안구 호계동 533-17,37.3738754,126.9511403,1983,,,,,,2006-03-13,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00094,솔개어린이공원,어린이공원,경기도 안양시 만안구 연현로 113,경기도 안양시 만안구 석수동 423-59,37.43433219,126.9019246,1565,,,,,,2006-08-28,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00095,연현어린이공원,어린이공원,,경기도 안양시 만안구 석수동 417-9,37.43105659,126.9007453,1512,,,,,,2006-08-28,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00096,덕천1어린이공원,어린이공원,경기도 안양시 만안구 학의로 71,경기도 안양시 만안구 안양7동 1387,37.3957556,126.9293086,3335,,,,,,2006-09-07,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00097,주접어린이공원,어린이공원,경기도 안양시 만안구 학의로 71,경기도 안양시 만안구 안양7동 1396,37.3914655,126.9333509,3813,,,,,,2006-09-07,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00098,소능골소공원,소공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 관양동 1692,37.38554949,126.9536897,777,,,,,,2007-01-02,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00099,초롱어린이공원,어린이공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 관양동 1702,37.38554949,126.9536897,1676,,,,,,2007-01-02,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00100,동편공원,근린공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 관양동 1660,37.38554949,126.9536897,14840,,,,,,2007-01-02,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41171-00101,박달어린이공원,어린이공원,,경기도 안양시 만안구 박달동 94-115일원,37.4010002,126.9091234,2718,,,,,,2007-02-05,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00102,조일소공원,소공원,경기도 안양시 동안구 엘에스로91번길 32-41,경기도 안양시 동안구 호계동 1027-18,37.37053655,126.9476935,1581,,,,,,2007-09-17,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00103,청원소공원,소공원,,경기도 안양시 만안구 안양동 76-8,37.40750898,126.9185079,1019,,,,,,2007-09-27,경기도 안양시 공원관리과,031-8045-5286,2022-11-15
41173-00104,벌말소공원,소공원,경기도 안양시 동안구 흥안대로456번길 21,경기도 안양시 동안구 평촌동 75-16,37.39465369,126.977084,500,,,,,,2007-10-22,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00105,상평촌어린이공원,어린이공원,,경기도 안양시 동안구 평촌동 72-5,37.39531203,126.9765011,1500,,,,,,2007-10-22,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00106,해오름공원,문화공원,,경기도 안양시 동안구 관양동 1688 일원,37.4071688,126.9689207,40726,,,,,,2007-11-09,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41171-00107,일직수변공원,수변공원,,경기도 안양시 만안구 박달동 산89-1 일원,37.4215457,126.9124943,10049,,,,,,2007-11-16,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41171-00108,테크노벨리소공원,소공원,경기도 안양시 만안구 전파로24번길 35-24,경기도 안양시 만안구 안양동 196-47,37.38902732,126.9365314,885,,,,,,2008-01-23,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00109,명학공원,근린공원,경기도 안양시 만안구 안양로 101,경기도 안양시 만안구 안양8동 572 일원,37.3838821,126.9326846,11314,,,,,,2008-05-28,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41171-00110,병목안문화공원(병목안캠핑장),문화공원,경기도 안양시 만안구 병목안로 224-10,경기도 안양시 만안구 안양동 산73-1 일원,37.38424669,126.9069008,20841,,,,,,2008-06-16,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00111,대륭소공원,소공원,,경기도 안양시 동안구 관양2동 224-21,37.3976838,126.973997,1177,,,,,,2008-11-25,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00112,덕천2어린이공원,어린이공원,,경기도 안양시 만안구 안양7동 1388,37.3961776,126.9298729,1737,,,,,,2008-12-30,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00113,제24호소공원,소공원,,경기도 안양시 동안구 호계동 1308,31.3733359,126.954253,2159,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00114,제25호소공원,소공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 호계동 1304,37.38554949,126.9536897,642,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00115,제26호소공원,소공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 호계동 1305,37.38554949,126.9536897,821,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41173-00116,제116호어린이공원,어린이공원,경기도 안양시 동안구 동안로 73,경기도 안양시 동안구 호계동 1303,37.38554949,126.9536897,5522,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00117,삼막소공원31,소공원,경기도 안양시 만안구 삼막로 36,경기도 안양시 만안구 석수동 689번지 일원,37.42269905,126.9121397,323,,,,,,2011-12-08,경기도 안양시 공원관리과,031-8045-5286,2022-11-15
41173-00118,오비즈소공원,소공원,,경기도 안양시 동안구 관양동 1802-1,37.39926215,126.9695487,4385,,,,,,2011-12-15,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00119,덕수소공원,소공원,경기도 안양시 만안구 동안로 73,경기도 안양시 만안구 석수동 865,37.4338743,126.9062409,216,,,,,,2012-03-22,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00120,낙원소공원,소공원,경기도 안양시 만안구 동안로 73,경기도 안양시 만안구 안양동 1302,37.4171255,126.9200163,993,,,,,,2012-06-21,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00121,호암공원,근린공원,,경기도 안양시 만안구 석수동 497-5 일원,37.4259923,126.9063456,6521,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41171-00122,안양친수공원,수변공원,,경기도 안양시 만안구 안양동 863 일원,37.4098348,126.9153749,55045,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41171-00123,연현생태공원,수변공원,,경기도 안양시 만안구 석수동 543 일원,37.4249474,126.8979821,138955,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41171-00124,삼성천 예술문화공원,수변공원,,경기도 안양시 만안구 석수동 산24-25 일원,37.4200413,126.9257566,33285,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41171-00125,창박골체육공원,체육공원,경기도 안양시 만안구 창박로41번길 19,경기도 안양시 만안구 안양동 1090-2 일원,37.38272589,126.9025875,13891,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41173-00126,샛터공원,수변공원,,경기도 안양시 동안구 호계동 168-9 일원,37.3790359,126.9418886,10531,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41173-00127,샘모루공원,수변공원,,경기도 안양시 동안구 비산동 564-1 일원,37.397752,126.931516,66795,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41173-00128,학의천 무릉공원,수변공원,경기도 안양시 동안구 학의로 71,경기도 안양시 동안구 달안동 1116 일원,37.396571,126.9502216,26245,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41173-00129,평촌스마트스퀘어체육공원,체육공원,경기도 안양시 동안구 부림로 170번길 20,경기도 안양시 동안구 관양동 1741 일원,37.39871767,126.9643909,10052,,,,,,2012-09-04,경기도 안양시 공원관리과,031-8045-5025,2022-11-15
41173-00130,간촌공원,근린공원,경기도 안양시 동안구 동편로 124,경기도 안양시 동안구 관양동 1675,37.41098532,126.9681013,13874,,,,,,2013-01-03,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00131,내비산마을(제60),소공원,,경기도 안양시 동안구 비산동 122-3번지 일원,37.4096185,126.948027,304,,,,,,2015-04-28,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
41171-00132,박달시장소공원,소공원,경기도 안양시 만안구 양화로116번길 36,경기도 안양시 만안구 박달동 74-13,37.4029212,126.9122654,500,,,,,,2015-06-04,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
